assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,2,0,15.1,701,0.03,0.03,0.0,0.03,52,0,0,2.0,5.0,2023-09-23,17,9,0,0,0,0,6,0,262,0,3,1,0.0,0,47,78,31,45,True,1,0,0,0.0,14,Sub,Brentford,Everton,1,3,21949,2023,612341,0.0290316492319107,0,1,0,0.0,0.0290316492319107,0.0290316492319107
1,0,0,5,0,15.8,701,0.19,0.19,0.0,0.26,67,0,0,2.1,5.2,2023-10-01,21,16,0,0,0,0,7,0,340,0,1,1,0.0,1,49,103,54,45,False,0,0,0,0.0,19,Sub,Nottingham Forest,Brentford,1,1,21963,2023,615271,0.0290244780480861,0,1,0,0.0,0.0,0.0
2,0,0,3,0,14.0,701,0.15,0.15,0.0,0.78,78,2,0,1.5,1.0,2023-10-07,7,14,0,0,0,0,8,0,479,0,1,2,0.0,1,59,140,81,45,False,0,0,0,0.0,5,Sub,Manchester United,Brentford,2,1,21972,2023,616489,0.1276218742132187,0,1,0,0.0,0.0,0.0
3,0,0,16,0,2.4,701,0.02,0.12,0.1,0.0,83,0,1,4.0,29.4,2023-10-21,6,6,0,0,0,0,9,0,656,0,0,3,8.0,5,131,215,84,45,True,1,1,2,0.066388264298439,2,Sub,Brentford,Burnley,3,0,21977,2023,618104,0.0,0,0,1,0.066388264298439,0.066388264298439,0.0
4,0,0,2,0,0.0,701,0.0,0.0,0.0,0.92,95,0,0,0.6,6.0,2023-10-28,6,7,0,0,0,0,10,0,4836,0,2,0,0.0,0,3854,4505,651,45,False,1,0,0,0.0,3,Sub,Chelsea,Brentford,0,2,21989,2023,619582,0.0,0,0,0,0.0,0.0,0.0
5,0,0,3,0,0.4,701,0.0,0.0,0.0,0.02,101,0,0,0.1,0.2,2023-11-04,1,19,0,0,0,0,11,0,5793,0,2,3,0.0,1,1011,1666,655,45,True,0,0,0,0.0,1,Sub,Brentford,West Ham,3,2,21995,2023,621534,0.0,0,0,0,0.0,0.0131368739530444,0.0131368739530444
6,0,0,4,0,14.6,701,0.04,0.06,0.02,0.1,117,1,0,1.8,2.2,2023-11-12,18,11,0,0,0,0,12,0,5610,0,0,3,1.0,1,-148,706,854,45,False,0,0,1,0.0241678748279809,11,Sub,Liverpool,Brentford,3,0,22011,2023,623864,0.0309537108987569,0,1,0,0.0241678748279809,0.0551215857267379,0.0309537108987569
7,0,0,5,0,10.8,701,0.01,0.07,0.06,1.52,121,1,0,2.1,6.6,2023-11-25,89,1,0,0,0,0,13,0,5335,1,1,0,4.0,2,-304,620,924,45,True,0,0,1,0.0867915228009224,90,DR,Brentford,Arsenal,0,1,22015,2023,625116,0.0206544324755668,0,1,0,0.0867915228009224,0.1074459552764892,0.0206544324755668
8,0,0,5,0,6.1,701,0.03,0.07,0.04,0.13,133,1,0,1.9,5.0,2023-12-02,76,12,0,0,0,0,14,0,6309,1,1,3,8.0,2,826,1362,536,45,True,0,0,2,0.0437131188809871,79,DR,Brentford,Luton,3,1,22027,2023,626499,0.0,0,0,0,0.0437131188809871,0.0,0.0
9,0,0,13,0,15.3,701,0.08,0.08,0.0,1.52,142,2,0,2.7,11.8,2023-12-06,90,5,0,0,0,0,15,0,7118,1,1,2,0.0,2,755,1220,465,45,False,0,0,0,0.0,90,DL,Brighton,Brentford,2,1,22036,2023,628012,0.1095509976148605,0,1,0,0.0,0.1404138505458831,0.1404138505458831
10,0,0,16,0,6.3,701,0.04,0.04,0.0,0.89,158,1,0,1.9,12.2,2023-12-09,90,17,0,0,0,0,16,0,7517,1,0,1,0.0,2,353,1045,692,45,False,0,0,0,0.0,90,DR,Sheffield United,Brentford,1,0,22052,2023,628767,0.0,0,0,0,0.0,0.1515322774648666,0.1515322774648666
11,0,0,4,0,5.2,701,0.02,0.02,0.0,1.42,163,2,0,3.1,21.6,2023-12-17,90,2,0,0,0,0,17,0,6756,1,2,1,4.0,1,-736,461,1197,45,True,1,0,0,0.0,90,DML,Brentford,Aston Villa,1,2,22057,2023,630825,0.0,0,0,0,0.0,0.0,0.0
12,0,0,18,0,33.1,701,0.25,0.27,0.02,2.1,183,4,0,5.4,13.6,2023-12-27,90,20,0,0,0,0,19,0,6095,1,4,1,7.0,2,-30,354,384,45,True,0,0,1,0.0187884606420993,90,DL,Brentford,Wolverhampton Wanderers,1,4,22077,2023,633125,0.6595717668533325,0,2,0,0.0187884606420993,0.5645029544830322,0.5457144975662231
13,0,0,14,0,23.3,701,0.08,0.14,0.06,1.08,192,3,0,4.9,12.2,2023-12-30,90,8,0,0,0,0,20,0,5828,1,1,3,13.0,1,-274,318,592,45,False,1,0,2,0.062232743948698,90,DML,Crystal Palace,Brentford,3,1,22086,2023,633565,0.0233197249472141,0,2,0,0.062232743948698,0.6792299151420593,0.6169971823692322
14,0,0,2,0,0.0,701,0.0,0.0,0.0,0.74,241,1,0,0.0,0.0,2024-02-17,5,11,0,0,0,0,25,0,3418,0,4,1,0.0,1,160,341,181,45,True,0,0,0,0.0,1,Sub,Brentford,Liverpool,1,4,22135,2023,641494,0.0,0,0,0,0.0,0.0,0.0
15,0,0,2,0,0.0,701,0.0,0.0,0.0,0.2,176,0,0,0.0,0.0,2024-02-20,1,13,0,0,0,0,25,0,3418,0,0,1,0.0,1,160,341,181,45,False,0,0,0,0.0,1,Sub,Manchester City,Brentford,1,0,22074,2023,642832,0.0,0,0,0,0.0,0.0,0.0
16,0,0,2,0,0.0,701,0.0,0.0,0.0,0.05,271,0,0,0.0,0.0,2024-03-09,1,1,0,0,0,0,28,0,3104,0,1,2,0.0,1,-93,45,138,45,False,0,0,0,0.0,1,Sub,Arsenal,Brentford,2,1,22166,2023,646899,0.0,0,0,0,0.0,0.0,0.0
17,0,0,5,0,0.5,701,0.1,0.1,0.0,0.19,293,1,0,0.3,2.2,2024-03-30,3,14,0,0,0,0,30,0,3100,0,1,1,0.0,1,-102,61,163,45,True,0,0,0,0.0,2,Sub,Brentford,Manchester United,1,1,22187,2023,650216,0.0,0,0,0,0.0,0.486374169588089,0.486374169588089
