assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty
0,1,32,0,14.8,82,0.1,0.28,0.18,3.0,14,3,1,8.4,38.4,2023-08-19,75,11,0,0,0,0,2,0,130520,1,1,3,31.0,6,33524,46499,12975,45,False,1,1,3,0.1357619315385818,80,AMR,Liverpool,Bournemouth,3,1,22288,2023,605140,0.2983673512935638,0,1,1,0.1357619315385818,0.4341292977333069,0.0,2,5
0,0,-4,0,2.2,82,0.02,0.19,0.17,1.78,22,2,0,1.1,0.0,2023-08-26,72,18,0,0,0,0,3,0,246922,1,2,0,10.0,2,101529,131178,29649,45,True,0,0,2,0.0974843874573707,78,AMR,Bournemouth,Tottenham,0,2,22296,2023,606648,0.0,0,0,0,0.0974843874573707,0.0974843874573707,0.0,3,2
0,0,-3,0,1.3,82,0.0,0.19,0.19,1.45,32,1,0,2.7,3.2,2023-09-02,59,4,0,0,0,0,4,0,307508,1,2,2,22.0,1,54925,89377,34452,45,False,0,0,2,0.3245506584644317,63,AMR,Brentford,Bournemouth,2,2,21928,2023,608667,0.0,0,0,0,0.3245506584644317,0.725862443447113,0.4013118147850036,2,2
0,0,-1,0,0.6,82,0.0,0.09,0.09,0.7,53,1,0,4.8,7.2,2023-09-24,26,5,0,0,0,0,6,0,306152,0,1,3,40.0,1,-18107,18321,36428,45,False,0,0,3,0.1000442281365394,23,Sub,Brighton,Bournemouth,3,1,21951,2023,612731,0.0,0,0,0,0.1000442281365394,0.1000442281365394,0.0,2,3
0,0,0,0,0.8,82,0.0,0.0,0.0,0.58,62,1,0,0.2,1.2,2023-09-30,7,1,0,0,0,0,7,0,298754,0,4,0,0.0,1,-7964,25739,33703,45,True,0,0,0,0.0,2,Sub,Bournemouth,Arsenal,0,4,21959,2023,614703,0.0,0,0,0,0.0,0.0,0.0,5,2
0,3,38,0,25.7,82,0.38,0.52,0.14,0.28,93,1,1,9.9,43.6,2023-10-28,68,6,0,0,0,0,10,0,264419,1,1,2,30.0,9,-14094,10786,24880,45,True,0,1,2,0.0954557061195373,72,AMR,Bournemouth,Burnley,2,1,21985,2023,619872,0.4771670699119568,0,2,1,0.0954557061195373,0.5341777801513672,0.0,2,2
0,0,0,0,0.2,82,0.0,0.0,0.0,0.79,106,2,0,0.0,0.0,2023-11-04,19,13,0,0,0,0,11,0,300241,0,1,6,0.0,1,32447,47003,14556,45,False,0,0,0,0.0,15,Sub,Manchester City,Bournemouth,6,1,22000,2023,621520,0.0,0,0,0,0.0,0.0,0.0,2,5
0,0,2,1,13.5,82,0.01,0.23,0.22,0.43,113,0,0,4.4,6.4,2023-11-11,80,15,0,0,0,0,12,0,298178,1,0,2,24.0,2,-1086,15856,16942,45,True,0,0,4,0.237436443567276,87,AMR,Bournemouth,Newcastle United,2,0,22005,2023,623475,0.0777319893240928,0,1,0,0.237436443567276,0.6449030637741089,0.3297346234321594,3,2
1,0,20,1,11.6,82,0.02,0.09,0.07,0.4,129,0,0,4.8,23.6,2023-11-25,65,17,0,0,0,0,13,0,320156,1,3,1,13.0,5,19629,36352,16723,45,False,0,0,3,0.1596271842718124,70,AMR,Sheffield United,Bournemouth,1,3,22023,2023,624981,0.3863191604614258,1,1,0,0.1596271842718124,1.1609344482421875,0.6467416882514954,2,2
0,0,19,0,12.1,82,0.02,0.3,0.28,0.57,132,1,1,11.2,38.6,2023-12-03,70,2,0,0,0,0,14,0,343002,1,2,2,61.0,5,21947,33365,11418,46,True,1,1,3,0.4324333071708679,80,AML,Bournemouth,Aston Villa,2,2,22025,2023,627153,0.0264697652310132,0,1,1,0.4324333071708679,0.4589030742645263,0.0,3,2
0,0,11,1,16.7,82,0.04,0.12,0.08,0.59,143,0,0,4.5,13.0,2023-12-06,61,8,0,0,0,0,15,0,389454,1,2,0,15.0,2,44788,51843,7055,46,False,0,0,1,0.1256605833768844,65,AMR,Crystal Palace,Bournemouth,0,2,22043,2023,628045,0.1166583821177482,0,1,0,0.1256605833768844,0.3522758781909942,0.1099569126963615,2,2
0,0,2,0,21.0,82,0.05,0.05,0.0,0.8,157,0,0,2.7,2.4,2023-12-09,57,14,0,0,0,0,16,0,411876,1,3,0,4.0,1,22579,36913,14334,46,False,0,0,0,0.0,62,AMR,Manchester United,Bournemouth,0,3,22051,2023,628744,0.1511237025260925,0,2,0,0.0,0.1511237025260925,0.0,2,4
0,0,5,0,16.2,82,0.05,0.36,0.31,0.51,177,1,0,6.7,6.4,2023-12-23,69,16,0,0,0,0,18,0,406816,1,3,2,44.0,1,-11878,15836,27714,46,False,1,0,4,0.5834763050079346,76,AMR,Nottingham Forest,Bournemouth,2,3,22070,2023,632687,0.0292168390005826,0,1,0,0.5834763050079346,0.8107771873474121,0.198084071278572,2,2
1,0,20,1,11.8,82,0.05,0.07,0.02,0.28,182,0,0,2.1,5.2,2023-12-26,71,10,0,0,0,0,19,0,375582,1,0,3,4.0,5,-33730,6885,40615,46,True,0,0,1,0.0189007092267274,75,AMR,Bournemouth,Fulham,3,0,22075,2023,632980,0.2760948538780212,0,1,0,0.0189007092267274,0.4255886673927307,0.1305930912494659,2,2
0,0,4,0,1.6,82,0.01,0.09,0.08,1.44,198,2,0,3.2,9.4,2023-12-31,29,18,0,0,0,0,20,0,344190,0,1,3,21.0,1,-31930,4938,36868,46,False,0,0,3,0.1056509092450141,20,Sub,Tottenham,Bournemouth,3,1,22092,2023,633757,0.0,0,0,0,0.1056509092450141,0.1671569347381591,0.1076557263731956,2,4
0,0,3,0,11.5,82,0.01,0.41,0.4,1.24,217,1,0,6.1,10.0,2024-02-01,67,19,0,0,0,0,22,0,207687,1,1,1,39.0,2,-28848,1948,30796,45,False,0,0,3,0.5649046897888184,70,AMR,West Ham,Bournemouth,1,1,22110,2023,638071,0.0732250660657882,0,1,0,0.5649046897888184,0.6550365686416626,0.0169068407267332,2,3
0,0,1,0,10.8,82,0.01,0.02,0.01,0.5,222,1,0,1.7,4.0,2024-02-04,45,16,0,0,0,0,23,0,198960,1,1,1,2.0,1,-9672,3856,13528,45,True,0,0,1,0.0198403187096118,52,AMR,Bournemouth,Nottingham Forest,1,1,22115,2023,639014,0.0461812019348144,0,1,0,0.0198403187096118,0.0995250195264816,0.0335035026073455,2,2
0,0,2,0,11.3,82,0.02,0.1,0.08,0.0,233,0,0,3.1,1.6,2024-02-10,27,10,0,0,0,0,24,0,189059,0,1,3,18.0,1,-10128,5010,15138,45,False,0,0,1,0.0622727423906326,20,Sub,Fulham,Bournemouth,3,1,22127,2023,640145,0.0904083326458931,0,1,0,0.0622727423906326,0.0904083326458931,0.0,2,3
0,2,26,0,0.8,82,0.01,0.08,0.07,1.52,247,1,1,5.5,33.2,2024-02-17,77,15,0,0,0,0,25,0,185877,1,2,2,21.0,8,-2403,9887,12290,45,False,0,1,1,0.0754833966493606,82,AMR,Newcastle United,Bournemouth,2,2,22141,2023,641843,0.0,0,0,1,0.0754833966493606,1.046407699584961,0.9709243774414062,2,4
0,0,11,0,30.0,82,0.08,0.08,0.0,1.64,253,1,0,4.6,12.0,2024-02-24,90,13,0,0,0,0,26,0,199276,1,1,0,4.0,2,11071,20461,9390,45,True,0,0,0,0.0,90,AMR,Bournemouth,Manchester City,0,1,22145,2023,643398,0.0875386968255043,0,2,0,0.0,0.1108699515461921,0.0233312509953975,5,2
0,2,31,1,15.9,82,0.29,0.49,0.2,1.53,262,0,1,7.8,35.4,2024-03-03,90,6,0,0,0,0,27,0,234841,1,2,0,27.0,7,34979,43124,8145,45,False,1,1,3,0.3171196281909942,90,AMR,Burnley,Bournemouth,0,2,22156,2023,645478,0.4147161841392517,0,1,1,0.3171196281909942,1.1155396699905396,0.3837038278579712,2,2
0,0,-1,0,8.5,82,0.04,0.58,0.54,1.27,273,2,0,6.4,9.0,2024-03-09,90,17,0,0,0,0,28,0,300960,1,2,2,46.0,2,63943,76641,12698,45,True,0,0,6,0.5521568655967712,90,AMR,Bournemouth,Sheffield United,2,2,22165,2023,646630,0.0,0,0,0,0.5521568655967712,0.488644391298294,0.0532605051994323,2,2
0,3,63,0,39.8,82,0.13,0.56,0.44,2.1,162,3,2,17.8,79.4,2024-03-13,90,12,0,0,0,0,28,0,300960,1,3,4,59.0,13,63943,76641,12698,45,True,0,2,5,0.5649370551109314,90,AMR,Bournemouth,Luton,4,3,25861,2023,647900,0.1221155673265457,0,3,2,0.5649370551109314,0.8464694619178772,0.2171059250831604,2,2
0,0,1,0,16.7,82,0.02,0.24,0.22,1.12,292,1,0,5.1,8.0,2024-03-30,90,9,0,0,0,0,30,0,328363,1,1,2,26.0,2,43664,65181,21517,45,True,0,0,3,0.2246472388505935,90,AMR,Bournemouth,Everton,2,1,22185,2023,649744,0.0312671475112438,0,1,0,0.2246472388505935,1.111502766609192,0.855588436126709,2,2
1,0,12,0,22.1,82,0.06,0.18,0.12,0.02,302,0,0,7.3,27.8,2024-04-02,45,8,0,0,0,0,31,0,354102,0,0,1,23.0,3,25731,43416,17685,45,True,1,0,1,0.3609554171562195,41,Sub,Bournemouth,Crystal Palace,1,0,22195,2023,651045,0.4019500613212585,1,2,0,0.3609554171562195,0.8009310960769653,0.0380256362259388,2,2
0,0,6,1,10.5,82,0.01,0.01,0.0,0.58,316,0,0,1.6,5.8,2024-04-06,68,12,0,0,0,0,32,0,371896,1,1,2,0.0,2,17355,32336,14981,45,False,0,0,0,0.0,72,AML,Luton,Bournemouth,2,1,22210,2023,651793,0.069206416606903,0,1,0,0.0,0.069206416606903,0.0,2,2
0,0,2,0,0.3,82,0.0,0.11,0.11,1.15,331,1,0,1.8,4.2,2024-04-21,27,2,0,0,0,0,34,0,277006,0,1,3,13.0,1,-50264,12608,62872,45,False,0,0,2,0.1204524338245391,22,Sub,Aston Villa,Bournemouth,3,1,22225,2023,655497,0.0,0,0,0,0.1204524338245391,0.3557344079017639,0.3191143274307251,2,4
