assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty
0,0,7,1,18.6,501,0.02,0.09,0.08,1.73,18,0,0,6.0,11.4,2023-08-19,87,14,0,0,0,0,2,0,118558,1,0,2,30.0,3,-15200,3232,18432,70,True,0,0,2,0.0647394210100174,90,AMR,Tottenham,Manchester United,2,0,22290,2023,605251,0.0213837698101997,0,1,0,0.0647394210100174,0.5430185794830322,0.4568954110145569,3,4
0,0,26,1,23.7,501,0.19,0.54,0.35,0.67,22,0,1,12.3,44.8,2023-08-26,90,3,0,0,0,0,3,0,128087,1,2,0,54.0,8,2327,19197,16870,70,False,0,1,2,0.662635862827301,90,AMR,Bournemouth,Tottenham,0,2,22296,2023,606664,0.1512042880058288,0,2,1,0.662635862827301,1.4968929290771484,0.6830528378486633,3,2
0,0,8,0,35.3,501,0.08,0.08,0.0,1.23,34,1,0,7.5,13.2,2023-09-02,85,6,0,0,0,0,4,0,151335,1,5,2,26.0,1,15532,27732,12200,70,False,1,0,0,0.0,90,AMR,Burnley,Tottenham,2,5,21929,2023,608697,0.0794666409492492,0,2,0,0.0,0.6996029615402222,0.6823002099990845,3,2
0,3,41,0,65.7,501,0.31,0.63,0.32,0.58,48,1,1,19.1,51.8,2023-09-16,90,17,0,0,0,0,5,0,142196,1,1,2,73.0,10,-11272,14579,25851,70,True,0,1,7,0.4078459441661834,90,AMR,Tottenham,Sheffield United,2,1,21936,2023,611527,0.8047773838043213,0,5,1,0.4078459441661834,1.2187319993972778,0.557349443435669,2,4
0,0,6,0,37.5,501,0.16,0.16,0.0,2.08,51,2,0,5.5,9.4,2023-09-24,90,1,0,0,0,0,6,0,158725,1,2,2,8.0,2,11941,24876,12935,70,False,0,0,0,0.0,90,AMR,Arsenal,Tottenham,2,2,21952,2023,612787,0.2862834334373474,0,3,0,0.0,0.7169833183288574,0.5226248502731323,3,5
0,0,17,0,58.9,501,0.15,0.22,0.07,1.34,68,1,0,10.9,15.8,2023-09-30,90,11,0,0,0,0,7,0,163567,1,1,2,34.0,2,2602,20131,17529,70,True,0,0,2,0.1135121062397956,90,AMR,Tottenham,Liverpool,2,1,21962,2023,614968,0.2501842975616455,0,5,0,0.1135121062397956,0.4397753179073334,0.116424560546875,4,4
0,0,9,1,24.2,501,0.33,0.38,0.05,0.8,77,0,0,7.2,11.2,2023-10-07,90,12,0,0,0,0,8,0,243589,1,1,0,37.0,3,71551,94602,23051,70,False,0,0,1,0.0596749223768711,90,AMR,Luton,Tottenham,0,1,21971,2023,616139,0.5985307693481445,0,1,0,0.0596749223768711,1.2604807615280151,0.6022750735282898,3,2
0,0,2,1,13.3,501,0.26,0.48,0.22,1.03,90,0,0,3.4,3.6,2023-10-23,90,10,0,0,0,0,9,0,229065,1,0,2,17.0,3,-11108,17212,28320,70,True,0,0,2,0.1305048912763595,90,AMR,Tottenham,Fulham,2,0,21984,2023,619282,0.1103421971201896,0,1,0,0.1305048912763595,0.3286166489124298,0.1185606569051742,2,4
0,0,13,1,10.3,501,0.04,0.06,0.02,0.47,96,0,0,2.1,7.0,2023-10-27,89,8,0,0,0,0,10,0,193945,1,2,1,4.0,3,-35530,6695,42225,70,False,0,0,1,0.0234990790486335,90,AMR,Crystal Palace,Tottenham,1,2,21990,2023,619486,0.0,0,0,0,0.0234990790486335,0.0717201232910156,0.0482210479676723,3,2
0,0,27,0,11.5,501,0.02,0.09,0.07,1.61,110,1,1,8.1,42.6,2023-11-06,60,7,0,0,0,0,11,0,169538,1,4,1,27.0,7,-25814,4643,30457,70,True,0,1,1,0.0510308779776096,73,AMR,Tottenham,Chelsea,1,4,22004,2023,622754,0.0691006109118461,0,1,1,0.0510308779776096,0.1201314926147461,0.0691006109118461,3,4
