assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty
1,3,41,1,13.2,34,0.68,1.0,0.32,0.64,11,0,1,9.4,50.0,2023-08-20,62,9,0,0,0,0,2,0,63516,1,0,4,31.0,14,-3030,6101,9131,55,True,0,1,2,0.5992322564125061,72,AMR,Aston Villa,Everton,4,0,22292,2023,605745,0.6844462156295776,1,1,1,0.5992322564125061,1.3545973300933838,0.1690711081027984,2,4
0,0,7,0,14.7,34,0.07,0.07,0.0,2.23,37,2,0,2.2,7.6,2023-09-03,46,11,0,0,0,0,4,0,171491,0,0,3,0.0,1,-29302,21273,50575,55,False,0,0,0,0.0,51,Sub,Liverpool,Aston Villa,3,0,21933,2023,609395,0.0759182274341583,0,1,0,0.0,0.1641972213983535,0.0882789865136146,3,5
0,0,19,0,6.3,34,0.04,0.81,0.77,0.8,41,0,1,7.0,37.2,2023-09-16,33,8,0,0,0,0,5,0,160917,0,1,3,26.0,5,-15925,16953,32878,55,True,1,1,2,0.7021558880805969,28,Sub,Aston Villa,Crystal Palace,3,1,21938,2023,610476,0.0,0,0,1,0.7021558880805969,0.9350082874298096,0.2328523844480514,2,4
0,0,-2,0,14.4,34,0.19,0.19,0.0,0.36,55,0,0,1.7,0.4,2023-09-24,15,7,0,0,0,0,6,0,161390,0,1,0,2.0,1,-1543,14979,16522,55,False,0,0,0,0.0,13,Sub,Chelsea,Aston Villa,0,1,21947,2023,612763,0.1327671408653259,0,1,0,0.0,0.133345291018486,0.133345291018486,3,3
0,0,4,0,14.8,34,0.06,0.06,0.0,0.14,80,0,0,2.1,4.4,2023-10-08,8,20,0,0,0,0,8,0,105014,0,1,1,2.0,1,-22467,7468,29935,55,False,0,0,0,0.0,4,Sub,Wolverhampton Wanderers,Aston Villa,1,1,21974,2023,617004,0.0953236445784568,0,1,0,0.0,0.0953236445784568,0.0953236445784568,3,2
0,0,21,0,1.4,34,0.01,0.32,0.31,0.25,81,0,1,5.9,32.4,2023-10-22,14,19,0,0,0,0,9,0,102237,0,1,4,25.0,6,-4280,5144,9424,55,True,0,1,2,0.468777596950531,12,Sub,Aston Villa,West Ham,4,1,21976,2023,618977,0.0,0,0,1,0.468777596950531,0.468777596950531,0.0,2,4
1,0,11,0,22.8,34,0.1,0.24,0.14,0.48,92,1,0,5.0,17.2,2023-10-29,45,12,0,0,0,0,10,0,110616,0,1,3,10.0,4,7341,14718,7377,55,True,0,0,1,0.3282880485057831,43,Sub,Aston Villa,Luton,3,1,21987,2023,620455,0.6367917060852051,1,2,0,0.3282880485057831,0.9650797247886658,0.1269588470458984,2,4
0,0,-2,0,16.7,34,0.1,0.43,0.33,0.11,108,1,0,4.3,0.0,2023-11-05,45,16,0,0,0,0,11,0,116489,0,0,2,27.0,1,5307,12363,7056,55,False,0,0,3,0.2455720007419586,40,Sub,Nottingham Forest,Aston Villa,2,0,22002,2023,622097,0.0866348519921302,0,1,0,0.2455720007419586,0.4437240660190582,0.1115172058343887,3,2
1,0,17,0,21.1,34,0.61,0.67,0.06,0.56,112,1,0,4.8,20.8,2023-11-12,28,10,0,0,0,0,12,0,111018,0,1,3,6.0,4,-5373,3919,9292,55,True,0,0,1,0.0407624207437038,23,Sub,Aston Villa,Fulham,3,1,22007,2023,623907,1.0012398958206177,1,2,0,0.0407624207437038,1.0420023202896118,1.0012398958206177,2,4
0,0,3,0,12.5,34,0.02,0.26,0.24,1.14,130,0,0,3.7,8.2,2023-11-26,45,18,0,0,0,0,13,0,104029,0,2,1,16.0,1,-7066,2812,9878,55,False,0,0,3,0.1893403381109237,35,Sub,Tottenham,Aston Villa,1,2,22024,2023,625576,0.0111970901489257,0,1,0,0.1893403381109237,0.2005374282598495,0.0,3,4
