assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,team_h_difficulty,team_a_difficulty
0,0,0,0,0.8,139,0.0,0.0,0.0,0.47,33,1,0,0.5,0.2,2023-09-02,13,15,0,0,0,0,4,0,533538,0,1,3,4.0,0,-33150,28877,62027,39,True,1,0,0,0.0,11,Sub,Brighton,Newcastle United,3,1,21931,2023,608877,0.0,0,0,0,0.0,0.0,0.0,3,3
2,0,29,0,22.6,139,0.08,0.1,0.02,0.96,45,1,0,6.1,35.2,2023-09-16,76,14,0,0,0,0,5,0,541821,1,3,1,3.0,7,-3959,43427,47386,39,False,1,0,1,0.0169453416019678,80,DL,Manchester United,Brighton,1,3,21940,2023,610450,0.2228559702634811,2,2,0,0.0169453416019678,0.2705307006835937,0.2535853683948517,2,4
0,0,2,0,0.4,139,0.0,0.0,0.0,0.11,53,0,0,0.0,0.0,2023-09-24,3,3,0,0,0,0,6,0,670286,0,1,3,0.0,1,115632,136588,20956,39,True,0,0,0,0.0,1,Sub,Brighton,Bournemouth,3,1,21951,2023,612715,0.0,0,0,0,0.0,0.0,0.0,2,3
0,0,14,0,1.8,139,0.0,0.0,0.0,0.43,61,3,0,1.0,8.0,2023-09-30,45,2,0,0,0,0,7,0,737628,0,1,6,0.0,0,60067,102402,42335,39,False,0,0,0,0.0,39,Sub,Aston Villa,Brighton,6,1,21955,2023,614315,0.0,0,0,0,0.0,0.0701655000448226,0.0701655000448226,2,4
0,0,3,0,5.5,139,0.01,0.01,0.0,0.21,128,1,0,0.6,0.6,2023-11-25,34,16,0,0,0,0,13,0,651734,1,3,2,0.0,1,-40769,1767,42536,40,False,0,0,0,0.0,34,DL,Nottingham Forest,Brighton,2,3,22022,2023,624946,0.0,0,0,0,0.0,0.0,0.0,2,2
0,0,2,0,2.4,139,0.03,0.03,0.0,0.4,204,0,0,0.5,0.2,2024-01-22,25,20,0,0,0,0,21,0,409121,0,0,0,2.0,1,-54520,1023,55543,39,True,0,0,0,0.0,23,Sub,Brighton,Wolverhampton Wanderers,0,0,22095,2023,636500,0.0,0,0,0,0.0,0.0194847341626882,0.0194847341626882,2,3
0,0,-2,0,0.8,139,0.01,0.18,0.17,0.87,214,1,0,0.5,0.0,2024-01-30,45,12,0,0,0,0,22,0,402875,0,0,4,7.0,1,-9181,4900,14081,39,False,0,0,1,0.3131032586097717,39,Sub,Luton,Brighton,4,0,22107,2023,637832,0.0,0,0,0,0.3131032586097717,0.3131032586097717,0.0,2,2
1,0,22,0,28.9,139,0.18,0.24,0.06,0.19,224,1,0,6.3,25.2,2024-02-03,79,8,0,0,0,0,23,0,403322,1,1,4,9.0,5,-135,4966,5101,39,True,0,0,1,0.097698375582695,86,DML,Brighton,Crystal Palace,4,1,22118,2023,638545,0.1450607627630233,1,2,0,0.097698375582695,0.3754965960979461,0.2742943465709686,2,3
0,0,16,0,9.9,139,0.03,0.03,0.0,1.25,238,1,0,2.3,9.4,2024-02-10,90,18,0,0,0,0,24,0,432171,1,1,2,4.0,2,27575,34759,7184,39,False,0,0,0,0.0,90,DR,Tottenham,Brighton,2,1,22132,2023,640227,0.0,0,0,0,0.0,0.1676177233457565,0.1676177233457565,2,4
0,0,1,0,4.8,139,0.06,0.08,0.02,0.19,249,0,0,1.5,4.6,2024-02-18,45,17,0,0,0,0,25,0,503534,1,5,0,6.0,0,53871,64284,10413,39,False,1,0,1,0.0331942588090896,54,DL,Sheffield United,Brighton,0,5,22143,2023,642336,0.0,0,0,0,0.0331942588090896,0.466021180152893,0.4328269064426422,2,2
