goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,4,Sub,Brentford,Newcastle United,2,4,2024-05-19,22266,2023,663235,0.0,0,0,0,0.0,0.0,0.0
1,1,2,0.8898428082466125,75,FW,Burnley,Newcastle United,1,4,2024-05-04,22248,2023,658890,0.3391649723052978,0,1,1,0.8898428082466125,2.0497727394104004,0.8207648992538452
2,1,2,0.5721659064292908,20,Sub,Newcastle United,Sheffield United,5,1,2024-04-27,22240,2023,657017,0.0,0,0,1,0.5721659064292908,0.6383623480796814,0.0661964491009712
3,0,0,0.0,24,Sub,Crystal Palace,Newcastle United,2,0,2024-04-24,22178,2023,656362,0.0,0,0,0,0.0,0.0,0.0
4,0,0,0.0,90,FW,Nottingham Forest,Newcastle United,2,3,2024-02-10,22131,2023,640419,0.0,0,0,0,0.0,0.0,0.0
5,0,0,0.0,40,Sub,Newcastle United,Luton,4,4,2024-02-03,22123,2023,638614,0.1661024689674377,0,2,0,0.0,0.2384873926639557,0.1352550983428955
6,0,2,0.2027209848165512,32,Sub,Newcastle United,Nottingham Forest,1,3,2023-12-26,22083,2023,632925,0.0,0,0,0,0.2027209848165512,0.0781221836805343,0.0
7,0,3,0.5728828310966492,90,FW,Luton,Newcastle United,1,0,2023-12-23,22069,2023,632659,0.054618377238512,0,1,0,0.5728828310966492,0.2056115269660949,0.0
8,0,4,0.4473726153373718,90,FW,Newcastle United,Fulham,3,0,2023-12-16,22062,2023,630333,0.0448995754122734,0,1,0,0.4473726153373718,0.4922721982002258,0.0
9,0,1,0.1282568275928497,23,Sub,Tottenham,Newcastle United,4,1,2023-12-10,22053,2023,629569,0.3132510185241699,1,2,0,0.1282568275928497,0.4415078461170196,0.0
10,0,0,0.0,66,FW,Newcastle United,Arsenal,1,0,2023-11-04,22001,2023,621774,0.0,0,0,0,0.0,0.0935329720377922,0.0935329720377922
11,2,4,2.03593373298645,90,FW,Wolverhampton Wanderers,Newcastle United,2,2,2023-10-28,21994,2023,620134,0.0,0,0,1,1.2747650146484375,1.1683911085128784,0.0
12,1,2,1.123631715774536,75,FW,Newcastle United,Crystal Palace,4,0,2023-10-21,21981,2023,618162,0.0,0,0,1,1.123631715774536,1.6321711540222168,0.5085394978523254
13,0,0,0.0,2,Sub,West Ham,Newcastle United,2,2,2023-10-08,21973,2023,616973,0.0,0,0,0,0.0,0.0,0.0
14,1,5,1.5146150588989258,76,FW,Sheffield United,Newcastle United,0,8,2023-09-24,21954,2023,613099,0.0,0,0,1,1.5146150588989258,1.5146150588989258,0.0
15,1,3,0.9912685751914978,90,FW,Newcastle United,Brentford,1,0,2023-09-16,21943,2023,610656,0.0,0,0,0,0.2300997227430343,0.2300997227430343,0.1338002383708953
16,1,1,0.3121339380741119,30,Sub,Brighton,Newcastle United,3,1,2023-09-02,21931,2023,608893,0.0,0,0,1,0.3121339380741119,0.4151743650436401,0.1030404269695282
17,0,2,0.1135751381516456,14,Sub,Newcastle United,Liverpool,1,2,2023-08-27,22304,2023,607692,0.0,0,0,0,0.1135751381516456,0.1135751381516456,0.0
18,0,0,0.0,21,Sub,Manchester City,Newcastle United,1,0,2023-08-19,22291,2023,605576,0.0159003306180238,0,1,0,0.0,0.0159003306180238,0.0
19,1,4,1.220109462738037,11,Sub,Newcastle United,Aston Villa,5,1,2023-08-12,22281,2023,603916,0.0,0,0,1,1.220109462738037,1.220109462738037,0.0
20,0,0,0.0,17,Sub,Chelsea,Newcastle United,1,1,2023-05-28,18575,2022,600934,0.0,0,0,0,0.0,0.0640049427747726,0.0640049427747726
21,0,4,0.9286757707595824,71,FW,Newcastle United,Leicester,0,0,2023-05-22,18567,2022,599378,0.1186135038733482,0,1,0,0.9286757707595824,0.177434965968132,0.0
22,1,4,1.4117385149002075,90,FW,Newcastle United,Brighton,4,1,2023-05-18,18449,2022,597631,0.9048083424568176,1,3,1,1.4117385149002075,2.2702479362487797,0.0303990244865417
23,2,5,1.7695858478546145,75,FW,Leeds,Newcastle United,2,2,2023-05-13,18558,2022,596082,0.0260790605098009,0,1,0,0.247248113155365,0.1575385779142379,0.0
24,0,0,0.0,84,FW,Newcastle United,Arsenal,0,2,2023-05-07,18547,2022,595447,0.0619860477745533,0,1,0,0.0,0.1424660831689834,0.0804800316691398
25,2,6,2.341235637664795,41,Sub,Newcastle United,Southampton,3,1,2023-04-30,18541,2022,592895,0.0,0,0,2,2.341235637664795,1.313575029373169,0.0
