goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,80,AMR,Monaco,Marseille,0,2,2021-09-11,17871,2021,480668,0.0316051803529262,0,2,0,0.0,0.0693477541208267,0.0693477541208267
1,1,3,0.2156427055597305,90,AMR,Marseille,Saint-Etienne,3,1,2021-08-28,17854,2021,479306,0.5164375305175781,0,3,1,0.2156427055597305,0.7968010902404785,0.1154521852731704
2,1,2,0.5678291320800781,76,AMR,Marseille,Bordeaux,2,2,2021-08-15,17841,2021,476419,0.0146619509905576,0,1,1,0.5678291320800781,0.6595181226730347,0.0916889831423759
3,1,6,0.7202604413032532,86,AMR,Montpellier,Marseille,2,3,2021-08-08,17831,2021,475102,0.0909219309687614,0,2,1,0.7202604413032532,1.2792209386825562,0.4680386185646057
4,0,0,0.0,35,Sub,Leicester,Arsenal,1,3,2021-02-28,14690,2020,452707,0.0,0,0,0,0.0,0.1123440265655517,0.1123440265655517
5,0,1,0.0148748503997921,7,Sub,Leicester,Leeds,1,3,2021-01-31,14643,2020,446123,0.0,0,0,0,0.0148748503997921,0.0148748503997921,0.0
6,0,3,0.0993854105472564,19,Sub,Everton,Leicester,1,1,2021-01-27,14627,2020,445200,0.0381242148578166,0,1,0,0.0993854105472564,0.1375096291303634,0.0
7,0,3,0.0872878059744834,64,AMR,Leicester,Everton,0,2,2020-12-16,14559,2020,434675,0.0,0,0,0,0.0872878059744834,0.0723355263471603,0.0
8,0,1,0.0294558256864547,42,Sub,Leicester,Fulham,1,2,2020-11-30,14532,2020,430818,0.2062401473522186,0,2,0,0.0294558256864547,0.1825520694255828,0.1825520694255828
9,0,1,0.0215993132442235,27,Sub,Liverpool,Leicester,3,0,2020-11-22,14519,2020,428965,0.0,0,0,0,0.0215993132442235,0.1578647494316101,0.1362654417753219
10,0,0,0.0,18,Sub,Leeds,Leicester,1,4,2020-11-02,14498,2020,425744,1.0474047660827637,1,2,0,0.0,1.0474047660827637,0.0
11,0,0,0.0,13,Sub,Arsenal,Leicester,0,1,2020-10-25,14485,2020,423833,0.372265100479126,1,1,0,0.0,0.661608099937439,0.2893429696559906
12,0,0,0.0,34,Sub,Leicester,West Ham,0,3,2020-10-04,14470,2020,419938,0.0,0,0,0,0.0,0.3021993935108185,0.3021993935108185
13,0,1,0.0889476016163826,32,Sub,Juventus,Roma,1,3,2020-08-01,13467,2019,412114,0.4042149484157562,0,3,0,0.0889476016163826,0.4931625425815582,0.0
14,0,1,0.0443488508462905,47,AML,Roma,Udinese,0,2,2020-07-02,13376,2019,404972,0.0,0,0,0,0.0443488508462905,0.0936013683676719,0.0492525175213813
