goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,39,Sub,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537897,0.0,0,0,0,0.0,0.7723238468170166,0.7723238468170166
1,0,2,0.0386820472776889,90,MC,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536765,0.2213885337114334,0,6,0,0.0386820472776889,0.4875924587249756,0.3710128366947174
2,0,1,0.0316950492560863,80,MC,Newcastle United,Liverpool,0,1,2022-04-30,16721,2021,530127,0.462378442287445,0,4,0,0.0316950492560863,1.6076717376708984,1.221742868423462
3,0,0,0.0,3,Sub,Liverpool,Manchester United,4,0,2022-04-19,16669,2021,527538,0.0,0,0,0,0.0,0.0,0.0
4,0,0,0.0,1,Sub,Liverpool,Watford,2,0,2022-04-02,16680,2021,522462,0.0,0,0,0,0.0,0.0,0.0
5,0,0,0.0,2,Sub,Brighton,Liverpool,0,2,2022-03-12,16658,2021,519112,0.0,0,0,0,0.0,0.0,0.0
6,0,0,0.0,1,Sub,Liverpool,West Ham,1,0,2022-03-05,16649,2021,517767,0.0,0,0,0,0.0,0.0,0.0
7,0,1,0.0326529070734977,11,Sub,Liverpool,Leeds,6,0,2022-02-23,16559,2021,515353,0.133993312716484,0,1,0,0.0326529070734977,0.133993312716484,0.0
8,0,0,0.0,1,Sub,Burnley,Liverpool,0,1,2022-02-13,16617,2021,513151,0.0,0,0,0,0.0,0.0,0.0
9,0,0,0.0,1,Sub,Crystal Palace,Liverpool,1,3,2022-01-23,16599,2021,510200,0.0,0,0,0,0.0,0.0,0.0
10,0,0,0.0,11,Sub,Liverpool,Brentford,3,0,2022-01-16,16589,2021,508480,0.0775040611624717,0,1,0,0.0,0.0775040611624717,0.0775040611624717
11,0,0,0.0,74,MC,Chelsea,Liverpool,2,2,2022-01-02,16578,2021,505724,0.0,0,0,0,0.0,0.1161296814680099,0.1161296814680099
12,0,0,0.0,25,Sub,Leicester,Liverpool,1,0,2021-12-28,16573,2021,505340,0.023745696991682,0,1,0,0.0,0.1534780263900756,0.1534780263900756
13,0,3,0.0618792660534381,90,MC,Tottenham,Liverpool,2,2,2021-12-19,16552,2021,504161,0.0643641352653503,0,2,0,0.0618792660534381,0.1916353851556778,0.1120607629418373
14,0,0,0.0,1,Sub,Liverpool,Newcastle United,3,1,2021-12-16,16544,2021,503369,0.0,0,0,0,0.0,0.0,0.0
15,0,0,0.0,3,Sub,Liverpool,Aston Villa,1,0,2021-12-11,16533,2021,501653,0.0,0,0,0,0.0,0.0,0.0
16,0,0,0.0,1,Sub,Wolverhampton Wanderers,Liverpool,0,1,2021-12-04,16525,2021,499941,0.0,0,0,0,0.0,0.0,0.0
