goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,1,Sub,Manchester City,West Ham,3,1,2024-05-19,22273,2023,663000,0.0,0,0,0,0.0,0.0,0.0
1,0,2,0.0899998769164085,90,DMC,Tottenham,Manchester City,0,2,2024-05-14,22233,2023,661919,0.0,0,0,0,0.0899998769164085,0.3951790630817413,0.3951790630817413
2,0,0,0.0,85,DMC,Fulham,Manchester City,0,4,2024-05-11,22258,2023,660335,0.0979610830545425,0,1,0,0.0,1.128600001335144,1.0306389331817627
3,0,1,0.0564112365245819,90,DMC,Manchester City,Wolverhampton Wanderers,5,1,2024-05-04,22253,2023,659053,0.0,0,0,0,0.0564112365245819,0.9512127041816713,0.9512127041816713
4,0,0,0.0,40,Sub,Nottingham Forest,Manchester City,0,2,2024-04-28,22242,2023,657818,0.0,0,0,0,0.0,0.5183777809143066,0.5183777809143066
5,0,0,0.0,90,MC,Brighton,Manchester City,0,4,2024-04-25,22176,2023,656577,0.1043963059782981,0,2,0,0.0,0.2069380134344101,0.1393855661153793
6,1,5,0.2661055624485016,90,DMC,Manchester City,Luton,5,1,2024-04-13,22221,2023,653295,0.2239967286586761,0,4,1,0.2661055624485016,1.2374111413955688,0.9933014512062072
7,0,0,0.0,13,Sub,Crystal Palace,Manchester City,2,4,2024-04-06,22207,2023,651454,0.0236794631928205,0,1,0,0.0,0.0873022228479385,0.0873022228479385
8,0,0,0.0,10,Sub,Manchester City,Aston Villa,4,1,2024-04-03,22204,2023,651189,0.0369614735245704,0,1,0,0.0,0.1532590240240097,0.1162975504994392
9,0,1,0.030367936939001,63,MC,Manchester City,Arsenal,0,0,2024-03-31,22190,2023,650581,0.0,0,0,0,0.030367936939001,0.1470866799354553,0.1167187467217445
10,0,0,0.0,19,Sub,Liverpool,Manchester City,1,1,2024-03-10,22171,2023,647483,0.0319632962346077,0,1,0,0.0,0.0319632962346077,0.0319632962346077
11,0,1,0.0652136206626892,87,AMC,Bournemouth,Manchester City,0,1,2024-02-24,22145,2023,643414,0.293916642665863,0,1,0,0.0652136206626892,0.5639693140983582,0.4987556934356689
12,0,0,0.0,1,Sub,Manchester City,Brentford,1,0,2024-02-20,22074,2023,642817,0.0,0,0,0,0.0,0.4456445276737213,0.4456445276737213
13,0,0,0.0,1,Sub,Brentford,Manchester City,1,3,2024-02-05,22117,2023,639651,0.0,0,0,0,0.0,0.0,0.0
14,0,0,0.0,1,Sub,Manchester City,Burnley,3,1,2024-01-31,22114,2023,637936,0.0,0,0,0,0.0,0.0,0.0
15,0,2,0.0486267134547233,90,DMC,Newcastle United,Manchester City,2,3,2024-01-13,22100,2023,634964,0.1418208628892898,0,2,0,0.0486267134547233,1.3906489610671997,1.228603720664978
16,0,0,0.0,69,DMC,Manchester City,Sheffield United,2,0,2023-12-30,22090,2023,633493,0.0147586902603507,0,1,0,0.0,1.6895073652267456,1.6895073652267456
17,0,0,0.0,22,Sub,Everton,Manchester City,1,3,2023-12-27,22081,2023,633120,0.0,0,0,0,0.0,0.0235013328492641,0.0235013328492641
18,0,1,0.0309501439332962,86,DMC,Luton,Manchester City,1,2,2023-12-10,22050,2023,629345,0.0209623575210571,0,1,0,0.0309501439332962,0.4506633281707763,0.3987508118152618
19,0,0,0.0,20,Sub,Aston Villa,Manchester City,1,0,2023-12-06,22035,2023,628079,0.0,0,0,0,0.0,0.0,0.0
20,0,0,0.0,1,Sub,Manchester City,Tottenham,3,3,2023-12-03,22031,2023,627549,0.0,0,0,0,0.0,0.0,0.0
21,0,1,0.0475721508264541,5,Sub,Chelsea,Manchester City,4,4,2023-11-12,22009,2023,624167,0.0,0,0,0,0.0475721508264541,0.0475721508264541,0.0475721508264541
22,0,2,0.5921034812927246,90,MC,Manchester City,Bournemouth,6,1,2023-11-04,22000,2023,621495,0.0346427522599697,0,1,0,0.5921034812927246,0.9045272469520568,0.9045272469520568
23,0,1,0.0429645031690597,1,Sub,Manchester United,Manchester City,0,3,2023-10-29,21992,2023,620747,0.0,0,0,0,0.0429645031690597,0.0429645031690597,0.0
24,0,0,0.0,69,MC,Arsenal,Manchester City,1,0,2023-10-08,21965,2023,617308,0.0,0,0,0,0.0,0.0,0.0
25,0,1,0.0341322794556617,68,DMC,Wolverhampton Wanderers,Manchester City,2,1,2023-09-30,21961,2023,614619,0.0152468020096421,0,1,0,0.0341322794556617,0.2300577908754348,0.1806787103414535
26,0,0,0.0,90,DMC,Manchester City,Fulham,5,1,2023-09-02,21927,2023,608711,0.0695315971970558,0,1,0,0.0,0.2003273069858551,0.2003273069858551
27,0,2,0.0788784250617027,90,DMC,Sheffield United,Manchester City,1,2,2023-08-27,22303,2023,607488,0.4070591330528259,0,2,0,0.0788784250617027,1.5613209009170532,1.1542617082595823
28,0,2,0.046070247888565,90,DMC,Manchester City,Newcastle United,1,0,2023-08-19,22291,2023,605559,0.0,0,0,0,0.046070247888565,0.6373322606086731,0.6052049994468689
29,0,0,0.0,68,Sub,Burnley,Manchester City,0,3,2023-08-11,22275,2023,603630,0.1686996072530746,0,1,0,0.0,0.4685800969600677,0.4685800969600677
30,0,0,0.0,16,Sub,Chelsea,Newcastle United,1,1,2023-05-28,18575,2022,600918,0.0,0,0,0,0.0,0.0648006349802017,0.0648006349802017
31,0,0,0.0,45,MC,Chelsea,Nottingham Forest,2,2,2023-05-13,18555,2022,596370,0.0,0,0,0,0.0,0.0,0.0
32,0,0,0.0,90,MC,Arsenal,Chelsea,3,1,2023-05-02,18532,2022,593738,0.2882706224918365,1,2,0,0.0,0.5801223516464233,0.5671363472938538
33,0,0,0.0,90,MC,Chelsea,Brentford,0,2,2023-04-26,18529,2022,591653,0.0677269995212555,0,1,0,0.0,0.591218888759613,0.5234918594360352
34,0,1,0.0843660980463028,29,Sub,Chelsea,Brighton,1,2,2023-04-15,18503,2022,588463,0.0,0,0,0,0.0843660980463028,0.0843660980463028,0.0
35,0,1,0.0265475008636713,90,MC,Wolverhampton Wanderers,Chelsea,1,0,2023-04-08,18501,2022,586709,0.0885887965559959,0,2,0,0.0265475008636713,0.4277069866657257,0.3305929899215698
36,0,2,0.5393720269203186,90,MC,Chelsea,Liverpool,0,0,2023-04-04,18281,2022,586070,0.0249617006629705,0,1,0,0.5393720269203186,1.1193000078201294,0.579925000667572
37,0,3,0.0841209962964057,82,MC,Chelsea,Aston Villa,0,2,2023-04-01,18485,2022,584926,0.3605470061302185,0,2,0,0.0841209962964057,0.7342699766159058,0.3718970119953155
38,0,2,0.0716058015823364,84,MC,Chelsea,Everton,2,2,2023-03-18,18476,2022,583266,0.1378020048141479,0,3,0,0.0716058015823364,0.2557969987392425,0.1941560059785843
39,1,1,0.1232919991016388,90,MC,Leicester,Chelsea,1,3,2023-03-11,18467,2022,581309,0.0804924964904785,0,1,1,0.1232919991016388,0.3876309990882873,0.1838459968566894
40,0,0,0.0,76,MC,Chelsea,Leeds,1,0,2023-03-04,18456,2022,579548,0.0,0,0,0,0.0,0.6125209927558899,0.6125209927558899
41,0,1,0.0272323992103338,90,DMC,Chelsea,Southampton,0,1,2023-02-18,18435,2022,576388,0.0507330000400543,0,1,0,0.0272323992103338,0.1799120008945465,0.1526789963245391
42,0,0,0.0,1,Sub,Chelsea,Crystal Palace,1,0,2023-01-15,18395,2022,569421,0.0,0,0,0,0.0,0.0,0.0
43,0,3,0.0925310030579567,82,MC,Fulham,Chelsea,2,1,2023-01-12,18262,2022,568549,0.3313890099525451,0,2,0,0.0925310030579567,0.8216189742088318,0.4409199953079223
44,0,1,0.0142905004322528,90,DMC,Chelsea,Manchester City,0,1,2023-01-05,18385,2022,567543,0.0,0,0,0,0.0142905004322528,0.1012089997529983,0.0869185999035835
45,0,0,0.0,28,Sub,Nottingham Forest,Chelsea,1,1,2023-01-01,18378,2022,566802,0.0,0,0,0,0.0,0.0,0.0
46,0,1,0.0430512987077236,90,MC,Newcastle United,Chelsea,1,0,2022-11-12,18357,2022,564738,0.0,0,0,0,0.0430512987077236,0.0430512987077236,0.0
47,0,0,0.0,11,Sub,Chelsea,Arsenal,0,1,2022-11-06,18343,2022,562356,0.0,0,0,0,0.0,0.0,0.0
48,0,1,0.0434826016426086,90,MC,Brighton,Chelsea,4,1,2022-10-29,18335,2022,560060,0.0,0,0,0,0.0434826016426086,0.7988349795341492,0.7988349795341492
49,0,0,0.0,55,Sub,Chelsea,Manchester United,1,1,2022-10-22,18323,2022,558427,0.0163918007165193,0,1,0,0.0,0.0163918007165193,0.0
50,0,3,0.101511001586914,75,Sub,Brentford,Chelsea,0,0,2022-10-19,18314,2022,557604,0.0999417006969451,0,4,0,0.101511001586914,0.4742330014705658,0.2888320088386535
51,0,1,0.0321808010339736,67,MC,Aston Villa,Chelsea,0,2,2022-10-16,18302,2022,556567,0.0,0,0,0,0.0321808010339736,0.1299719959497451,0.0977914035320282
52,0,0,0.0,21,Sub,Chelsea,Wolverhampton Wanderers,3,0,2022-10-08,18295,2022,554161,0.1387770026922226,1,1,0,0.0,0.1387770026922226,0.1387770026922226
53,0,0,0.0,90,DMC,Crystal Palace,Chelsea,1,2,2022-10-01,18284,2022,552290,0.0,0,0,0,0.0,0.3608669936656952,0.3608669936656952
54,0,1,0.0182357002049684,74,MC,Chelsea,West Ham,2,1,2022-09-03,18260,2022,547251,0.0961306989192962,0,1,0,0.0182357002049684,0.1273359954357147,0.0312053002417087
55,0,1,0.0244648996740579,42,Sub,Southampton,Chelsea,2,1,2022-08-30,18244,2022,545973,0.0114740999415516,0,1,0,0.0244648996740579,0.0934725031256675,0.0934725031256675
56,0,0,0.0,12,Sub,Chelsea,Leicester,2,1,2022-08-27,18235,2022,544501,0.0,0,0,0,0.0,0.0,0.0
57,0,0,0.0,29,MC,Leeds,Chelsea,0,3,2022-05-11,16703,2021,534762,0.0,0,0,0,0.0,0.1178169995546341,0.1178169995546341
58,0,1,0.1067740023136138,90,MC,Chelsea,Wolverhampton Wanderers,2,2,2022-05-07,16731,2021,534260,0.175928995013237,0,2,0,0.1067740023136138,0.3849459886550903,0.10224299877882
59,0,2,0.1415780037641525,42,Sub,Everton,Chelsea,1,0,2022-05-01,16724,2021,531068,0.0363926999270916,0,2,0,0.1415780037641525,0.2646850049495697,0.208063006401062
60,0,0,0.0,90,MC,Southampton,Chelsea,0,6,2022-04-09,16687,2021,524622,0.1129639968276023,0,2,0,0.0,0.8925279974937439,0.8096110224723816
61,0,2,0.0362170003354549,24,Sub,Chelsea,Brentford,1,4,2022-04-02,16683,2021,522787,0.3260230123996734,0,2,0,0.0362170003354549,0.626908004283905,0.2798140048980713
62,0,0,0.0,25,Sub,Chelsea,Newcastle United,1,0,2022-03-13,16659,2021,519905,0.0,0,0,0,0.0,0.378262996673584,0.378262996673584
63,0,1,0.0193834993988275,87,MC,Norwich,Chelsea,1,3,2022-03-10,16672,2021,518987,0.3722000122070312,0,1,0,0.0193834993988275,0.7146999835968018,0.7146999835968018
64,0,0,0.0,19,Sub,Burnley,Chelsea,0,4,2022-03-05,16647,2021,517545,0.0,0,0,0,0.0,0.0,0.0
65,0,0,0.0,13,Sub,Crystal Palace,Chelsea,0,1,2022-02-19,16629,2021,514229,0.0,0,0,0,0.0,0.1312070041894912,0.1312070041894912
66,0,0,0.0,90,MC,Chelsea,Tottenham,2,0,2022-01-23,16598,2021,510552,0.1737879961729049,0,2,0,0.0,0.325560986995697,0.1517730057239532
67,0,1,0.0142908999696373,9,Sub,Brighton,Chelsea,1,1,2022-01-18,16607,2021,508938,0.055264800786972,0,1,0,0.0142908999696373,0.055264800786972,0.0
68,0,0,0.0,90,MC,Manchester City,Chelsea,1,0,2022-01-15,16590,2021,507894,0.4463259875774383,0,1,0,0.0,0.4463259875774383,0.0
69,1,2,0.0437830984592437,90,MC,Chelsea,Liverpool,2,2,2022-01-02,16578,2021,505711,0.0,0,0,1,0.0437830984592437,0.451196014881134,0.4283939898014068
70,0,1,0.0198366995900869,90,MC,Chelsea,Brighton,1,1,2021-12-29,16568,2021,505347,0.0,0,0,0,0.0198366995900869,0.1226919963955879,0.1226919963955879
71,0,0,0.0,26,Sub,Aston Villa,Chelsea,1,3,2021-12-26,16556,2021,505172,0.5303379893302917,0,1,0,0.0,0.6677259802818298,0.6677259802818298
72,0,0,0.0,21,Sub,Wolverhampton Wanderers,Chelsea,0,0,2021-12-19,16555,2021,504020,0.0,0,0,0,0.0,0.4999450147151947,0.4999450147151947
73,0,1,0.0236702002584934,90,MC,Chelsea,Norwich,7,0,2021-10-23,16459,2021,489668,0.8478749990463257,2,6,0,0.0236702002584934,1.251039981842041,0.874750018119812
74,0,2,0.0810450986027717,68,MC,Brentford,Chelsea,0,1,2021-10-16,16448,2021,488354,0.0,0,0,0,0.0810450986027717,0.0514406003057956,0.0514406003057956
75,0,0,0.0,76,MC,Chelsea,Southampton,3,1,2021-10-02,16438,2021,486468,0.4367600083351135,0,2,0,0.0,0.9705880284309388,0.9705880284309388
76,0,1,0.0585204996168613,90,MC,Chelsea,Manchester City,0,1,2021-09-25,16426,2021,484398,0.0,0,0,0,0.0585204996168613,0.0585204996168613,0.0
77,0,1,0.5750979781150818,90,MC,Tottenham,Chelsea,0,3,2021-09-19,16425,2021,482935,0.0231224000453948,1,1,0,0.5750979781150818,1.9046499729156492,1.3295600414276123
78,1,2,0.383882999420166,90,MC,Chelsea,Aston Villa,3,0,2021-09-11,16413,2021,480527,0.429284006357193,1,1,1,0.383882999420166,1.0152599811553955,0.6313769817352295
79,0,1,0.0655028969049453,38,Sub,Liverpool,Chelsea,1,1,2021-08-28,16402,2021,479081,0.0,0,0,0,0.0655028969049453,0.1871609985828399,0.1216579973697662
80,0,2,0.0811614021658897,74,MC,Arsenal,Chelsea,0,2,2021-08-22,16394,2021,477847,0.1032150015234947,0,1,0,0.0811614021658897,1.2142200469970703,1.2142200469970703
81,0,2,0.0380878001451492,90,MC,Chelsea,Crystal Palace,3,0,2021-08-14,16379,2021,475477,0.048658899962902,1,2,0,0.0380878001451492,0.1187409982085228,0.0678782984614372
82,0,2,0.0516331009566783,68,MC,Aston Villa,Chelsea,2,1,2021-05-23,14806,2020,473272,0.0,0,0,0,0.0516331009566783,1.414720058441162,1.3630900382995603
83,0,0,0.0,59,Sub,Chelsea,Leicester,2,1,2021-05-18,14797,2020,472416,0.0971731022000312,0,1,0,0.0,0.7356520295143127,0.6384779810905457
84,0,0,0.0,84,MC,Crystal Palace,Chelsea,1,4,2021-04-10,14737,2020,461412,0.2504380047321319,0,3,0,0.0,1.9086300134658811,1.7716799974441528
85,0,2,0.0797917991876602,90,MC,Chelsea,West Bromwich Albion,2,5,2021-04-03,14727,2020,459162,0.0958847030997276,0,1,0,0.0797917991876602,0.2285400032997131,0.0528638996183872
86,0,0,0.0,81,MC,Chelsea,Everton,2,0,2021-03-08,14698,2020,455551,0.0,0,0,0,0.0,0.6469449996948242,0.6469449996948242
87,0,0,0.0,8,Sub,Liverpool,Chelsea,0,1,2021-03-04,14719,2020,454274,0.0,0,0,0,0.0,0.0,0.0
88,0,2,0.0298199001699686,90,MC,Chelsea,Manchester United,0,0,2021-02-28,14685,2020,453212,0.0202190000563859,0,1,0,0.0298199001699686,0.7314540147781372,0.711234986782074
89,0,0,0.0,79,MC,Southampton,Chelsea,1,1,2021-02-20,14682,2020,450510,0.0090111503377556,0,1,0,0.0,0.0688884034752845,0.0598771981894969
90,0,2,0.1529089957475662,90,MC,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450110,0.3971779942512512,0,2,0,0.1529089957475662,1.0277899503707886,0.8464040160179138
91,0,1,0.0228406004607677,90,MC,Sheffield United,Chelsea,1,2,2021-02-07,14662,2020,448544,0.282710999250412,0,1,0,0.0228406004607677,0.7660179734230042,0.4604659974575043
92,0,2,0.2264260053634643,76,MC,Tottenham,Chelsea,0,1,2021-02-04,14653,2020,447260,0.0,0,0,0,0.2264260053634643,0.8067129850387573,0.580286979675293
93,0,2,0.0787070989608764,90,MC,Chelsea,Burnley,2,0,2021-01-31,14637,2020,446004,0.1159100010991096,0,2,0,0.0787070989608764,0.9070420265197754,0.8034210205078125
94,0,1,0.028974900022149,90,DMC,Chelsea,Wolverhampton Wanderers,0,0,2021-01-27,14630,2020,445067,0.0624600015580654,0,2,0,0.028974900022149,0.3439399898052215,0.2739979922771454
95,0,0,0.0,90,MC,Leicester,Chelsea,2,0,2021-01-19,14609,2020,443290,0.0,0,0,0,0.0,0.0831416994333267,0.0831416994333267
96,0,0,0.0,90,MC,Fulham,Chelsea,0,1,2021-01-16,14617,2020,442436,0.0271458998322486,0,1,0,0.0,0.3691219985485077,0.34197598695755
97,0,2,0.0650471970438957,79,MC,Chelsea,Manchester City,1,3,2021-01-03,14603,2020,439702,0.0,0,0,0,0.0650471970438957,0.0650471970438957,0.0478110983967781
98,0,0,0.0,47,MC,Arsenal,Chelsea,3,1,2020-12-26,14575,2020,438147,0.0,0,0,0,0.0,0.0,0.0
99,0,0,0.0,21,Sub,Chelsea,West Ham,3,0,2020-12-21,14567,2020,437116,0.0,0,0,0,0.0,0.7334010004997253,0.7334010004997253
100,0,2,0.0492241010069847,19,Sub,Wolverhampton Wanderers,Chelsea,2,1,2020-12-15,14562,2020,434315,0.0,0,0,0,0.0492241010069847,0.0492241010069847,0.0
101,0,0,0.0,85,MC,Everton,Chelsea,1,0,2020-12-12,14546,2020,433306,0.1008350029587745,0,1,0,0.0,0.1008350029587745,0.0
102,0,0,0.0,20,Sub,Chelsea,Leeds,3,1,2020-12-05,14538,2020,431613,0.016950000077486,0,1,0,0.0,0.8004189729690552,0.783469021320343
103,0,1,0.0139709999784827,90,MC,Chelsea,Tottenham,0,0,2020-11-29,14529,2020,430513,0.0,0,0,0,0.0139709999784827,0.3373999893665313,0.3234289884567261
104,0,2,0.0825188010931015,90,MC,Newcastle United,Chelsea,0,2,2020-11-21,14521,2020,427662,0.3580380082130432,0,3,0,0.0825188010931015,1.312690019607544,1.1922600269317627
105,0,1,0.04261190071702,73,MC,Chelsea,Sheffield United,4,1,2020-11-07,14507,2020,426491,0.0813051015138626,1,1,0,0.04261190071702,0.2194789946079254,0.1768669933080673
106,0,0,0.0,6,Sub,Chelsea,Crystal Palace,4,0,2020-10-03,14467,2020,419258,0.0,0,0,0,0.0,0.0,0.0
107,0,1,0.0069420998916029,48,DMC,West Bromwich Albion,Chelsea,3,3,2020-09-26,14108,2020,417603,0.0,0,0,0,0.0069420998916029,1.1391700506210327,1.1322300434112549
108,0,0,0.0,80,MC,Chelsea,Liverpool,0,2,2020-09-20,14102,2020,427497,0.0,0,0,0,0.0,0.0124580999836325,0.0124580999836325
109,0,0,0.0,90,MC,Chelsea,Wolverhampton Wanderers,2,0,2020-07-26,12021,2019,411266,0.0,0,0,0,0.0,0.1941599994897842,0.1941599994897842
110,0,0,0.0,90,MC,Liverpool,Chelsea,5,3,2020-07-22,12006,2019,410857,0.0,0,0,0,0.0,0.2766079902648926,0.2766079902648926
111,0,0,0.0,90,MC,Chelsea,Norwich,1,0,2020-07-14,11995,2019,408475,0.0,0,0,0,0.0,0.5779309868812561,0.5779309868812561
112,0,0,0.0,56,MC,West Ham,Chelsea,3,2,2020-07-01,11962,2019,404612,0.0317164994776248,0,1,0,0.0,0.2569130063056946,0.2569130063056946
113,0,0,0.0,15,Sub,Chelsea,Manchester City,2,1,2020-06-25,11946,2019,402738,0.0,0,0,0,0.0,0.0,0.0
114,0,3,0.0714526996016502,58,MC,Aston Villa,Chelsea,1,2,2020-06-21,11933,2019,401678,0.1578859984874725,0,2,0,0.0714526996016502,0.3773559927940368,0.216058000922203
115,0,0,0.0,90,MC,Bournemouth,Chelsea,2,2,2020-02-29,11914,2019,387498,0.0157196000218391,0,1,0,0.0,0.8634899854660034,0.8477699756622314
116,0,1,0.0362606011331081,90,MC,Chelsea,Tottenham,2,1,2020-02-22,11906,2019,387131,0.0523950010538101,0,2,0,0.0362606011331081,0.1731379926204681,0.1731379926204681
117,0,2,0.1451710015535354,90,MC,Chelsea,Manchester United,0,2,2020-02-17,11896,2019,387075,0.1165810003876686,0,2,0,0.1451710015535354,0.436625987291336,0.3361450135707855
118,0,0,0.0,14,Sub,Leicester,Chelsea,2,2,2020-02-01,11886,2019,386603,0.0,0,0,0,0.0,0.0,0.0
119,0,3,0.2097840011119842,68,MC,Chelsea,Arsenal,2,2,2020-01-21,11881,2019,386422,0.0152705004438757,0,1,0,0.2097840011119842,0.225053995847702,0.0152705004438757
120,0,0,0.0,14,Sub,Brighton,Chelsea,1,1,2020-01-01,11845,2019,385491,0.0493630990386009,0,1,0,0.0,0.0493630990386009,0.0493630990386009
121,0,1,0.0153983999043703,75,MC,Arsenal,Chelsea,1,2,2019-12-29,11833,2019,372883,0.0,0,0,0,0.0153983999043703,0.0591075010597705,0.0437091998755931
122,0,0,0.0,72,MC,Tottenham,Chelsea,0,2,2019-12-22,11820,2019,372275,0.0472256988286972,1,1,0,0.0,0.0785458013415336,0.0785458013415336
123,0,1,0.0232411008328199,23,Sub,Chelsea,Bournemouth,0,1,2019-12-14,11805,2019,369753,0.0,0,0,0,0.0232411008328199,0.0612115003168582,0.0612115003168582
124,1,2,0.0396052002906799,90,DMC,Everton,Chelsea,3,1,2019-12-07,11796,2019,368126,0.0892452001571655,0,2,1,0.0396052002906799,0.2906480133533478,0.223034992814064
125,0,0,0.0,90,DMC,Chelsea,Aston Villa,2,1,2019-12-04,11789,2019,367669,0.1715040057897567,0,4,0,0.0,0.8814859986305237,0.776416003704071
126,0,1,0.0184537004679441,90,DMC,Chelsea,West Ham,0,1,2019-11-30,11774,2019,366183,0.0181968994438648,0,1,0,0.0184537004679441,0.3953959941864013,0.3769429922103882
127,0,0,0.0,90,MC,Manchester City,Chelsea,2,1,2019-11-23,11769,2019,364923,0.2924500107765198,1,1,0,0.0,0.4111100137233734,0.4111100137233734
128,0,1,0.0466479994356632,90,DMC,Chelsea,Crystal Palace,2,0,2019-11-09,11754,2019,362891,0.0440962016582489,0,1,0,0.0466479994356632,0.9690549969673156,0.9224069714546204
129,0,2,0.0999542996287345,90,DMC,Watford,Chelsea,1,2,2019-11-02,11751,2019,361767,0.1309320032596588,0,1,0,0.0999542996287345,0.7824119925498962,0.6824579834938049
130,0,1,0.030036199837923,90,DMC,Burnley,Chelsea,2,4,2019-10-26,11735,2019,359604,0.0369771011173725,0,1,0,0.030036199837923,0.323072999715805,0.323072999715805
131,0,0,0.0,48,Sub,Chelsea,Newcastle United,1,0,2019-10-19,11725,2019,357791,0.0,0,0,0,0.0,0.0895294994115829,0.0895294994115829
132,0,0,0.0,8,Sub,Southampton,Chelsea,1,4,2019-10-06,11718,2019,356885,0.0,0,0,0,0.0,0.4295749962329864,0.4295749962329864
133,0,0,0.0,21,Sub,Chelsea,Brighton,2,0,2019-09-28,11708,2019,354621,0.4298239946365356,0,2,0,0.0,0.4298239946365356,0.383433997631073
134,0,1,0.0346359014511108,90,MC,Chelsea,Liverpool,1,2,2019-09-22,11701,2019,353113,0.0,0,0,0,0.0346359014511108,0.3203999996185303,0.3203999996185303
135,0,0,0.0,72,MC,Wolverhampton Wanderers,Chelsea,2,5,2019-09-14,11688,2019,349056,0.0,0,0,0,0.0,0.3113990128040313,0.3113990128040313
