goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.0727186873555183,90,FWR,Burnley,Newcastle United,1,2,2022-05-22,16749,2021,537764,0.0,0,0,0,0.0727186873555183,0.6116759181022644,0.5389572381973267
1,0,1,0.0224174503237009,77,FWR,Newcastle United,Arsenal,2,0,2022-05-16,16741,2021,536724,0.0216125305742025,0,1,0,0.0224174503237009,0.1735283434391021,0.1294983625411987
2,0,0,0.0,82,FWR,Manchester City,Newcastle United,5,0,2022-05-08,16727,2021,533745,0.0,0,0,0,0.0,0.4106996059417724,0.4106996059417724
3,0,0,0.0,90,FWR,Newcastle United,Liverpool,0,1,2022-04-30,16721,2021,530115,0.0,0,0,0,0.0,0.0,0.0
4,0,1,0.0844463929533958,21,Sub,Norwich,Newcastle United,0,3,2022-04-23,16706,2021,528721,0.0587233826518058,0,1,0,0.0844463929533958,0.1431697756052017,0.0587233826518058
5,1,7,0.4314867258071899,79,FWR,Newcastle United,Crystal Palace,1,0,2022-04-20,16671,2021,527893,0.0,0,0,1,0.4314867258071899,0.4908057153224945,0.0829269662499427
6,0,1,0.0916849449276924,75,FWR,Newcastle United,Leicester,2,1,2022-04-17,16701,2021,527007,0.0299261361360549,0,1,0,0.0916849449276924,0.1410052478313446,0.0193941667675972
7,0,2,0.1136936694383621,78,Sub,Newcastle United,Wolverhampton Wanderers,1,0,2022-04-08,16689,2021,524196,0.0256324000656604,0,1,0,0.1136936694383621,0.2209880650043487,0.0816619992256164
8,0,1,0.0289982855319976,72,FWR,Everton,Newcastle United,1,0,2022-03-17,16571,2021,520801,0.0785087943077087,0,1,0,0.0289982855319976,0.1771241873502731,0.0986153930425643
9,0,1,0.0179992951452732,71,MR,Chelsea,Newcastle United,1,0,2022-03-13,16659,2021,519913,0.0302115008234977,0,1,0,0.0179992951452732,0.0,0.0
10,0,0,0.0,2,Sub,Southampton,Newcastle United,1,2,2022-03-10,16584,2021,518936,0.0,0,0,0,0.0,0.0,0.0
11,0,1,0.027005024254322,1,Sub,Brentford,Newcastle United,0,2,2022-02-26,16637,2021,516018,0.0,0,0,0,0.027005024254322,0.027005024254322,0.0
12,0,0,0.0,9,Sub,West Ham,Newcastle United,1,1,2022-02-19,16634,2021,513961,0.0,0,0,0,0.0,0.0,0.0
13,0,0,0.0,2,Sub,Newcastle United,Watford,1,1,2022-01-15,16591,2021,508093,0.0,0,0,0,0.0,0.0,0.0
14,0,1,0.0393265150487422,10,Sub,Newcastle United,Manchester United,1,1,2021-12-27,16561,2021,505213,0.0,0,0,0,0.0393265150487422,0.0502196513116359,0.0108931371942162
15,0,0,0.0,81,MR,Newcastle United,Manchester City,0,4,2021-12-19,16550,2021,504055,0.0,0,0,0,0.0,0.0,0.0
16,0,1,0.048754908144474,64,MR,Leicester,Newcastle United,4,0,2021-12-12,16532,2021,502264,0.0,0,0,0,0.048754908144474,0.1121992245316505,0.0634443163871765
17,0,6,0.4052698314189911,89,MR,Newcastle United,Burnley,1,0,2021-12-04,16520,2021,499947,0.0,0,0,0,0.4052698314189911,0.4052698314189911,0.0
18,0,0,0.0,11,Sub,Newcastle United,Norwich,1,1,2021-11-30,16513,2021,498652,0.0,0,0,0,0.0,0.0,0.0
19,0,0,0.0,19,Sub,Arsenal,Newcastle United,2,0,2021-11-27,16496,2021,497095,0.0224141012877225,0,1,0,0.0,0.0224141012877225,0.0
20,0,0,0.0,77,MR,Brighton,Newcastle United,1,1,2021-11-06,16478,2021,494250,0.0396049618721008,0,1,0,0.0,0.0396049618721008,0.0
21,0,1,0.0101144164800643,20,Sub,Newcastle United,Chelsea,0,3,2021-10-30,16471,2021,492221,0.0,0,0,0,0.0101144164800643,0.0426570549607276,0.0325426384806633
22,0,0,0.0,22,Sub,Crystal Palace,Newcastle United,1,1,2021-10-23,16460,2021,489963,0.0117081627249717,0,1,0,0.0,0.0,0.0
23,0,0,0.0,80,MR,Wolverhampton Wanderers,Newcastle United,2,1,2021-10-02,16445,2021,486537,0.0,0,0,0,0.0,0.0,0.0
24,0,2,0.0555436909198761,83,MR,Watford,Newcastle United,1,1,2021-09-25,16427,2021,484776,0.0258006565272808,0,1,0,0.0555436909198761,0.4067957699298858,0.3254514038562774
25,0,2,0.1802196353673935,65,MR,Newcastle United,Leeds,1,1,2021-09-17,16416,2021,481701,0.5388690829277039,0,4,0,0.1802196353673935,0.7551252841949463,0.1567597687244415
26,0,1,0.0113467946648597,90,MC,Manchester United,Newcastle United,4,1,2021-09-11,16410,2021,480365,0.0068150064907968,0,1,0,0.0113467946648597,0.4301834106445312,0.4120216071605682
27,0,0,0.0,90,MC,Newcastle United,Southampton,2,2,2021-08-28,16397,2021,478972,0.0,0,0,0,0.0,0.540574848651886,0.540574848651886
28,0,0,0.0,90,MC,Aston Villa,Newcastle United,2,0,2021-08-21,16388,2021,476950,0.0913029685616493,0,1,0,0.0,0.104996807873249,0.0136938337236642
29,0,2,0.0710291638970375,90,MC,Newcastle United,West Ham,2,4,2021-08-15,16384,2021,475992,0.0207067839801311,0,1,0,0.0710291638970375,0.3300528824329376,0.2501228451728821
30,0,1,0.0454101301729679,81,FW,Fulham,Newcastle United,0,2,2021-05-23,14807,2020,473304,0.0,0,0,0,0.0454101301729679,0.1174212396144867,0.0720111057162284
31,0,2,0.0513955727219581,90,MC,Newcastle United,Sheffield United,1,0,2021-05-19,14801,2020,472438,0.0133067658171057,0,1,0,0.0513955727219581,0.6173962950706482,0.5526939034461975
32,0,0,0.0,90,MC,Newcastle United,Manchester City,3,4,2021-05-14,14791,2020,470647,0.0478783994913101,0,1,0,0.0,0.1774055063724517,0.1295271068811416
33,0,1,0.0585527792572975,89,MC,Leicester,Newcastle United,2,4,2021-05-07,14779,2020,468285,0.4906316697597503,0,1,0,0.0585527792572975,0.4906316697597503,0.4906316697597503
34,0,0,0.0,75,MC,Newcastle United,Arsenal,0,2,2021-05-02,14771,2020,467611,0.0,0,0,0,0.0,0.0,0.0
35,0,0,0.0,87,MC,Liverpool,Newcastle United,1,1,2021-04-24,14760,2020,465140,0.0,0,0,0,0.0,0.2527158260345459,0.2527158260345459
36,0,2,0.0972715839743614,90,MC,Newcastle United,West Ham,3,2,2021-04-17,14752,2020,462654,0.5005947351455688,0,3,0,0.0972715839743614,0.7418039441108704,0.2041407525539398
37,0,1,0.3263077139854431,90,MC,Burnley,Newcastle United,1,2,2021-04-11,14736,2020,461589,0.0,0,0,0,0.3263077139854431,0.4607618451118469,0.1344541311264038
38,0,2,0.6266574263572693,90,MC,Newcastle United,Tottenham,2,2,2021-04-04,14732,2020,460240,0.0,0,0,0,0.6266574263572693,0.6266574263572693,0.0
39,0,0,0.0,82,FW,Brighton,Newcastle United,3,0,2021-03-20,14715,2020,458344,0.0774082913994789,0,1,0,0.0,0.0774082913994789,0.0
40,0,2,0.385425865650177,47,FW,Newcastle United,Wolverhampton Wanderers,1,1,2021-02-27,14688,2020,452594,0.0467006266117095,0,1,0,0.385425865650177,0.4403580725193023,0.0082315802574157
41,0,1,0.0119408834725618,81,AMC,Manchester United,Newcastle United,3,1,2021-02-21,14681,2020,451560,0.0810360834002494,0,1,0,0.0119408834725618,0.1064782589673996,0.0135012893006205
42,0,1,0.0463670939207077,90,FW,Chelsea,Newcastle United,2,0,2021-02-15,14667,2020,450127,0.0,0,0,0,0.0463670939207077,0.1417175382375717,0.095350444316864
43,2,2,0.1395203322172165,90,AMC,Newcastle United,Southampton,3,2,2021-02-06,14661,2020,447670,0.0,0,0,2,0.1395203322172165,0.2814536988735199,0.1419333517551422
44,0,3,0.1962720155715942,90,AMC,Newcastle United,Crystal Palace,1,2,2021-02-02,14652,2020,446774,0.0538488440215587,0,2,0,0.1962720155715942,0.3536933958530426,0.2267729938030243
45,0,1,0.0929493382573127,90,AMC,Everton,Newcastle United,0,2,2021-01-30,14644,2020,445400,0.6917168498039246,0,3,0,0.0929493382573127,1.1572060585021973,0.4104258120059967
46,1,2,0.4863146841526031,90,ML,Newcastle United,Leeds,1,2,2021-01-26,14631,2020,444959,0.052221268415451,0,3,1,0.4863146841526031,0.5564741492271423,0.0179381929337978
47,0,1,0.0210938230156898,83,MC,Aston Villa,Newcastle United,2,0,2021-01-23,14535,2020,444403,0.1748469471931457,0,2,0,0.0210938230156898,0.1959407776594162,0.1748469471931457
48,0,1,0.039525993168354,87,MR,Arsenal,Newcastle United,3,0,2021-01-18,14615,2020,443052,0.0936145037412643,0,1,0,0.039525993168354,0.1331404894590377,0.039525993168354
49,0,1,0.0144159570336341,69,MR,Newcastle United,Leicester,1,2,2021-01-03,14597,2020,439617,0.0,0,0,0,0.0144159570336341,0.0565848350524902,0.0565848350524902
50,0,0,0.0,22,Sub,Newcastle United,Liverpool,0,0,2020-12-30,14591,2020,438734,0.0,0,0,0,0.0,0.0,0.0
51,0,0,0.0,84,ML,Manchester City,Newcastle United,2,0,2020-12-26,14581,2020,438207,0.0667721256613731,0,2,0,0.0,0.0512757152318954,0.0
52,0,1,0.0461361519992351,90,ML,Newcastle United,Fulham,1,1,2020-12-19,14571,2020,436277,0.0169716328382492,0,1,0,0.0461361519992351,0.0734161958098411,0.0272800419479608
53,0,0,0.0,13,Sub,Leeds,Newcastle United,5,2,2020-12-16,14558,2020,434665,0.0,0,0,0,0.0,0.0,0.0
54,1,4,0.5274143218994141,87,MR,Newcastle United,West Bromwich Albion,2,1,2020-12-12,14550,2020,433026,0.0,0,0,1,0.5274143218994141,0.6464976668357849,0.1190833374857902
55,0,0,0.0,69,ML,Crystal Palace,Newcastle United,0,2,2020-11-27,14530,2020,429250,0.0,0,0,0,0.0,0.0658430829644203,0.0658430829644203
56,0,1,0.0250885840505361,24,Sub,Newcastle United,Chelsea,0,2,2020-11-21,14521,2020,427654,0.0224400926381349,0,1,0,0.0250885840505361,0.0250885840505361,0.0
57,0,0,0.0,90,MC,Southampton,Newcastle United,2,0,2020-11-06,14512,2020,426000,0.0,0,0,0,0.0,0.031507346779108,0.031507346779108
58,0,0,0.0,84,MC,Newcastle United,Everton,2,1,2020-11-01,14501,2020,425189,0.0465233512222766,0,1,0,0.0,0.5133301019668579,0.5133301019668579
59,0,1,0.1016228049993515,90,MC,Wolverhampton Wanderers,Newcastle United,1,1,2020-10-25,14494,2020,423711,0.016094222664833,0,1,0,0.1016228049993515,0.1349043846130371,0.0171873606741428
60,0,0,0.0,1,Sub,Newcastle United,Manchester United,1,4,2020-10-17,14481,2020,421463,0.0,0,0,0,0.0,0.0,0.0
61,0,1,0.0343885160982608,80,MR,Tottenham,Newcastle United,1,1,2020-09-27,14111,2020,418055,0.0539260283112525,0,1,0,0.0343885160982608,0.0539260283112525,0.0
62,0,0,0.0,39,Sub,Newcastle United,Brighton,0,3,2020-09-20,14101,2020,416332,0.4858430027961731,0,3,0,0.0,0.4751255810260772,0.0
63,0,1,0.1353103071451187,4,Sub,West Ham,Newcastle United,0,2,2020-09-12,14091,2020,414759,0.103549912571907,1,1,0,0.1353103071451187,0.2388602197170257,0.103549912571907
64,0,0,0.0,74,MC,Newcastle United,Liverpool,1,3,2020-07-26,12016,2019,411388,0.0,0,0,0,0.0,0.0,0.0
65,0,1,0.0811122357845306,90,MC,Brighton,Newcastle United,0,0,2020-07-20,12005,2019,410356,0.0166500955820083,0,1,0,0.0811122357845306,0.0680010095238685,0.0513509139418602
66,0,4,0.195391833782196,90,ML,Newcastle United,Tottenham,1,3,2020-07-15,12000,2019,408694,0.0773202180862426,0,3,0,0.195391833782196,0.731841504573822,0.5657663345336914
67,0,1,0.1118859052658081,90,AMC,Watford,Newcastle United,2,1,2020-07-11,11991,2019,407377,0.0179162379354238,0,1,0,0.1118859052658081,0.0179162379354238,0.0
68,1,4,0.87405925989151,90,AMC,Newcastle United,West Ham,2,2,2020-07-05,11968,2019,405611,0.0,0,0,1,0.87405925989151,0.87405925989151,0.0728632286190986
69,1,1,0.1215092986822128,58,Sub,Bournemouth,Newcastle United,1,4,2020-07-01,11955,2019,404401,0.1601456552743911,0,1,1,0.1215092986822128,0.4355870187282562,0.1539320796728134
70,0,1,0.134761705994606,88,AMC,Newcastle United,Aston Villa,1,1,2020-06-24,11949,2019,402404,0.1212740838527679,0,3,0,0.134761705994606,0.2768681943416595,0.0208324175328016
71,0,1,0.4231778085231781,86,AMC,Newcastle United,Sheffield United,3,0,2020-06-21,11938,2019,401610,1.1479908227920532,1,3,0,0.4231778085231781,1.5711685419082642,0.0
72,0,2,0.8509374856948853,90,FW,Southampton,Newcastle United,0,1,2020-03-07,11930,2019,387720,0.5290296077728271,0,1,0,0.8509374856948853,1.9104269742965696,0.5304599404335022
73,0,3,0.3213473856449127,90,FW,Newcastle United,Burnley,0,0,2020-02-29,11918,2019,387464,0.2559447288513183,0,4,0,0.3213473856449127,0.6057142019271851,0.1565559208393097
74,0,0,0.0,72,MR,Crystal Palace,Newcastle United,1,0,2020-02-22,11905,2019,387199,0.0,0,0,0,0.0,0.0232638865709304,0.0232638865709304
75,0,0,0.0,90,MR,Arsenal,Newcastle United,4,0,2020-02-16,11893,2019,387062,0.0819484665989875,0,1,0,0.0,0.5119972825050354,0.4300488233566284
