goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.0681723654270172,15,Sub,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537895,0.5236051678657532,1,2,0,0.0681723654270172,0.7341642379760742,0.1938632875680923
1,0,5,0.2149834930896759,86,FW,Southampton,Liverpool,1,2,2022-05-17,16740,2021,536769,0.22306789457798,0,3,0,0.2149834930896759,0.6835432648658752,0.2454918473958969
2,0,0,0.0,4,Sub,Manchester City,Liverpool,2,2,2022-04-10,16690,2021,525534,0.0,0,0,0,0.0,0.0,0.0
3,0,3,0.2162289172410965,90,FW,Liverpool,Watford,2,0,2022-04-02,16680,2021,522458,0.0,0,0,0,0.2162289172410965,1.0306538343429563,0.8535628914833069
4,1,1,0.7712225914001465,34,Sub,Arsenal,Liverpool,0,2,2022-03-16,16636,2021,520776,0.0,0,0,1,0.7712225914001465,0.9856374263763428,0.2144148498773574
5,0,1,0.041135050356388,90,FW,Burnley,Liverpool,0,1,2022-02-13,16617,2021,513147,0.0,0,0,0,0.041135050356388,0.0515895001590251,0.0515895001590251
6,0,4,0.2212172150611877,62,FW,Liverpool,Leicester,2,0,2022-02-10,16614,2021,512289,0.0,0,0,0,0.2212172150611877,0.1288830637931823,0.0
7,0,0,0.0,90,FW,Crystal Palace,Liverpool,1,3,2022-01-23,16599,2021,510197,0.0,0,0,0,0.0,0.1679430305957794,0.1679430305957794
8,0,2,0.0693066418170929,79,FW,Liverpool,Brentford,3,0,2022-01-16,16589,2021,508476,0.6537880897521973,1,2,0,0.0693066418170929,1.1936283111572266,1.124321699142456
9,0,0,0.0,19,Sub,Leicester,Liverpool,1,0,2021-12-28,16573,2021,505338,0.0788655653595924,0,1,0,0.0,0.0788655653595924,0.0788655653595924
10,0,0,0.0,27,Sub,Tottenham,Liverpool,2,2,2021-12-19,16552,2021,504166,0.0,0,0,0,0.0,0.0,0.0
11,0,1,0.0901779159903526,14,Sub,Liverpool,Newcastle United,3,1,2021-12-16,16544,2021,503367,0.0137968827039003,1,1,0,0.0901779159903526,0.0652902871370315,0.0652902871370315
12,0,4,0.6433701515197754,80,FW,Liverpool,Brighton,2,2,2021-10-30,16469,2021,492275,0.0492508932948112,0,1,0,0.6433701515197754,1.101391077041626,0.4087700247764587
13,0,3,0.2432184219360351,82,FW,Manchester United,Liverpool,0,5,2021-10-24,16463,2021,490860,0.0580459833145141,0,1,0,0.2432184219360351,1.9004004001617432,1.7206354141235352
14,3,3,2.1617026329040527,90,FW,Watford,Liverpool,0,5,2021-10-16,16455,2021,487855,0.5032227635383606,1,3,3,2.1617026329040527,2.774086236953736,0.1091608926653862
15,0,0,0.0,21,Sub,Liverpool,Manchester City,2,2,2021-10-03,16441,2021,487418,0.0,0,0,0,0.0,0.0,0.0
16,0,0,0.0,19,Sub,Brentford,Liverpool,3,3,2021-09-25,16432,2021,484993,0.0,0,0,0,0.0,0.0,0.0
17,0,0,0.0,42,FW,Liverpool,Chelsea,1,1,2021-08-28,16402,2021,479064,0.0,0,0,0,0.0,0.2972961068153381,0.2972961068153381
18,0,1,0.0883711725473404,7,Sub,Liverpool,Burnley,2,0,2021-08-21,16386,2021,476674,0.0330811887979507,0,1,0,0.0883711725473404,0.1975981593132019,0.0761457979679107
19,1,1,0.4241603016853332,28,Sub,Norwich,Liverpool,0,3,2021-08-14,16383,2021,475700,0.0820993781089782,0,1,1,0.4241603016853332,0.606270432472229,0.1000107750296592
20,0,2,0.0426838807761669,90,FW,Liverpool,Crystal Palace,2,0,2021-05-23,14810,2020,473373,0.8555672764778137,1,3,0,0.0426838807761669,0.3578258454799652,0.2433929741382599
21,1,2,0.2234605103731155,82,FW,Burnley,Liverpool,0,3,2021-05-19,14796,2020,472563,0.3837911486625671,0,3,1,0.2234605103731155,1.3987075090408323,0.791455864906311
22,0,3,0.4446148574352264,90,FW,West Bromwich Albion,Liverpool,1,2,2021-05-16,14789,2020,471494,0.0192120429128408,0,1,0,0.4446148574352264,0.7263332009315491,0.2625062763690948
23,2,3,0.7855839729309082,90,FW,Manchester United,Liverpool,2,4,2021-05-13,14770,2020,470604,0.4144508242607116,0,2,2,0.7855839729309082,1.2787657976150513,0.377005398273468
24,0,0,0.0,10,Sub,Liverpool,Southampton,2,0,2021-05-08,14780,2020,469002,0.0619218498468399,1,1,0,0.0,0.0619218498468399,0.0
25,0,3,0.546899676322937,90,FW,Liverpool,Newcastle United,1,1,2021-04-24,14760,2020,465130,0.4947377145290375,0,2,0,0.546899676322937,1.3580447435379028,0.4339408278465271
26,0,3,0.1940752416849136,90,FW,Leeds,Liverpool,1,1,2021-04-19,14749,2020,463998,0.1894370466470718,0,2,0,0.1940752416849136,0.4408918023109436,0.0573795102536678
27,0,2,0.0810766518115997,80,FW,Liverpool,Aston Villa,2,1,2021-04-10,14739,2020,461187,0.0838229283690452,0,1,0,0.0810766518115997,0.2826442718505859,0.1759420484304428
28,0,1,0.0180545095354318,81,FW,Arsenal,Liverpool,0,3,2021-04-03,14725,2020,459966,0.3219325244426727,0,1,0,0.0180545095354318,0.7399855256080627,0.3999985158443451
29,0,1,0.0219048988074064,90,FW,Liverpool,Chelsea,0,1,2021-03-04,14719,2020,454258,0.0,0,0,0,0.0219048988074064,0.0369499959051609,0.0150450989603996
30,0,2,0.482835978269577,90,FW,Sheffield United,Liverpool,0,2,2021-02-28,14694,2020,453347,0.1149739101529121,0,1,0,0.482835978269577,1.4188101291656494,0.9443713426589966
31,0,4,0.4066157639026642,90,FW,Liverpool,Everton,0,2,2021-02-20,14680,2020,450887,0.0250911507755517,0,1,0,0.4066157639026642,0.9141582250595092,0.482451319694519
32,0,4,0.859839677810669,90,FW,Leicester,Liverpool,3,1,2021-02-13,14670,2020,448844,0.1257792860269546,1,2,0,0.859839677810669,0.5438672304153442,0.3304707109928131
33,0,1,0.0499509610235691,90,FW,Liverpool,Manchester City,1,4,2021-02-07,14659,2020,448444,0.0211027562618255,0,1,0,0.0499509610235691,0.1077435091137886,0.0366897918283939
34,0,3,0.2132060676813125,80,FW,Liverpool,Brighton,0,1,2021-02-03,14654,2020,447194,0.0,0,0,0,0.2132060676813125,0.6811842918395996,0.4679782092571258
35,0,0,0.0,20,Sub,West Ham,Liverpool,1,3,2021-01-31,14639,2020,446438,0.521908700466156,1,1,0,0.0,0.521908700466156,0.0
36,1,3,1.0463783740997314,90,FW,Tottenham,Liverpool,1,3,2021-01-28,14633,2020,445252,0.2689375877380371,0,3,1,1.0463783740997314,1.6965351104736328,0.3812190592288971
37,0,3,0.2693776190280914,32,Sub,Liverpool,Burnley,0,1,2021-01-21,14613,2020,443726,0.0,0,0,0,0.2693776190280914,0.2693776190280914,0.0
38,0,5,0.7054912447929382,85,FW,Liverpool,Manchester United,0,0,2021-01-17,14620,2020,442839,0.0920834988355636,0,2,0,0.7054912447929382,0.8426521420478821,0.0450773499906063
39,0,3,0.1229195594787597,90,FW,Southampton,Liverpool,1,0,2021-01-04,14598,2020,439932,0.0460856929421424,0,1,0,0.1229195594787597,0.1515861600637436,0.0625005587935447
40,0,3,0.4890359342098236,90,FW,Newcastle United,Liverpool,0,0,2020-12-30,14591,2020,438745,0.3382796347141266,0,1,0,0.4890359342098236,0.7021046876907349,0.2971617579460144
41,0,2,0.2940376996994018,90,FW,Liverpool,West Bromwich Albion,1,1,2020-12-27,14580,2020,438275,0.0,0,0,0,0.2940376996994018,0.4779171049594879,0.1838793903589248
42,2,2,0.8493795394897461,77,FW,Crystal Palace,Liverpool,0,7,2020-12-19,14568,2020,435759,0.1119918003678321,1,1,2,0.8493795394897461,0.9642402529716492,0.114860713481903
43,1,5,0.4015633165836334,90,FW,Liverpool,Tottenham,2,1,2020-12-16,14563,2020,435349,0.0601571574807167,0,2,1,0.4015633165836334,0.4119297862052917,0.0918441116809845
44,0,2,0.044616624712944,90,FW,Fulham,Liverpool,1,1,2020-12-13,14547,2020,433957,0.4533490836620331,0,2,0,0.044616624712944,0.5150142908096313,0.0170486066490411
45,0,0,0.0,76,FW,Liverpool,Wolverhampton Wanderers,4,0,2020-12-06,14539,2020,432296,0.0,0,0,0,0.0,0.1984663605690002,0.1984663605690002
46,0,2,0.0646057277917862,90,FW,Brighton,Liverpool,1,1,2020-11-28,14528,2020,429369,0.0,0,0,0,0.0646057277917862,0.0293857939541339,0.0
47,1,6,2.353570938110352,90,FW,Liverpool,Leicester,3,0,2020-11-22,14519,2020,428948,0.0749173015356063,0,1,1,2.353570938110352,2.8491456508636475,0.8926898837089539
48,0,2,0.0487647503614425,62,AMC,Manchester City,Liverpool,1,1,2020-11-08,14511,2020,427252,0.0,0,0,0,0.0487647503614425,0.1202976703643798,0.0715329200029373
49,0,0,0.0,72,FW,Liverpool,West Ham,2,1,2020-10-31,14499,2020,424650,0.0,0,0,0,0.0,0.0833396613597869,0.0833396613597869
50,1,3,0.8676002025604248,86,AMC,Liverpool,Sheffield United,2,1,2020-10-24,14490,2020,423219,0.0,0,0,1,0.8676002025604248,1.665279746055603,0.8496546745300293
51,0,2,0.1775822639465332,81,FW,Everton,Liverpool,2,2,2020-10-17,14477,2020,420873,0.0953811481595039,0,2,0,0.1775822639465332,1.117501139640808,0.8697991371154785
52,0,2,0.3964625895023346,71,FW,Aston Villa,Liverpool,7,2,2020-10-04,14466,2020,420657,0.3509064018726349,1,2,0,0.3964625895023346,0.7473689913749695,0.0
53,0,1,0.0876834094524383,90,FW,Liverpool,Arsenal,3,1,2020-09-28,14115,2020,418701,0.1196767389774322,0,2,0,0.0876834094524383,0.512221097946167,0.3048609495162964
54,0,1,0.1401787996292114,87,FW,Chelsea,Liverpool,0,2,2020-09-20,14102,2020,427515,0.4713681936264038,1,3,0,0.1401787996292114,0.6334848999977112,0.4322822988033294
55,0,2,0.130162164568901,90,FW,Liverpool,Leeds,4,3,2020-09-12,14090,2020,414682,0.0,0,0,0,0.130162164568901,0.4138669669628143,0.2837047874927521
56,0,0,0.0,22,Sub,Newcastle United,Liverpool,1,3,2020-07-26,12016,2019,411408,0.1335703879594802,1,2,0,0.0,0.1335703879594802,0.0
57,1,1,0.4050352275371551,90,FW,Liverpool,Chelsea,5,3,2020-07-22,12006,2019,410844,0.0986935421824455,0,1,1,0.4050352275371551,0.5037288069725037,0.0
