goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0,90,GK,Crystal Palace,Aston Villa,5,0,2024-05-19,22270,2023,663096,0.0,0,0,0,0,0.2282354980707168,0.2282354980707168
1,0,0,0,90,GK,Brighton,Aston Villa,1,0,2024-05-05,22247,2023,659402,0.0,0,0,0,0,0.0,0.0
2,0,0,0,38,Sub,Aston Villa,Chelsea,2,2,2024-04-27,22236,2023,657257,0.0,0,0,0,0,0.0465185269713401,0.0465185269713401
3,0,0,0,90,GK,Manchester City,Aston Villa,4,1,2024-04-03,22204,2023,651193,0.0,0,0,0,0,0.0,0.0
4,0,0,0,90,GK,Burnley,Aston Villa,1,3,2023-08-27,22302,2023,607453,0.0,0,0,0,0,0.0,0.0
5,0,0,0,41,Sub,Brentford,Aston Villa,1,1,2023-04-22,18514,2022,590198,0.0,0,0,0,0,0.0,0.0
6,0,0,0,90,GK,Tottenham,Aston Villa,0,2,2023-01-01,18379,2022,566730,0.0,0,0,0,0,0.0297717992216348,0.0297717992216348
7,0,0,0,90,GK,Aston Villa,Liverpool,1,3,2022-12-26,18363,2022,565597,0.0,0,0,0,0,0.0,0.0
8,0,0,0,56,Sub,Newcastle United,Aston Villa,4,0,2022-10-29,18341,2022,560100,0.0,0,0,0,0,0.0,0.0
9,0,0,0,90,GK,Manchester City,Aston Villa,3,2,2022-05-22,16754,2021,537926,0.0,0,0,0,0,0.0799197033047676,0.0799197033047676
10,0,0,0,90,GK,Brighton,Everton,0,0,2021-04-12,14735,2020,462484,0.0,0,0,0,0,0.0,0.0
11,0,0,0,90,GK,Everton,Crystal Palace,1,1,2021-04-05,14728,2020,460611,0.0,0,0,0,0,0.8195909857749939,0.8195909857749939
12,0,0,0,90,GK,Everton,Fulham,0,2,2021-02-14,14669,2020,449901,0.0,0,0,0,0,0.0,0.0
13,0,0,0,90,GK,Manchester United,Everton,3,3,2021-02-06,14660,2020,447939,0.0,0,0,0,0,0.0,0.0
14,0,0,0,90,GK,Leeds,Everton,1,2,2021-02-03,14648,2020,447018,0.0,0,0,0,0,0.0,0.0
15,0,0,0,90,GK,Leicester,Everton,0,2,2020-12-16,14559,2020,434681,0.0,0,0,0,0,0.0,0.0
16,0,0,0,90,GK,Newcastle United,Everton,2,1,2020-11-01,14501,2020,425196,0.0,0,0,0,0,0.0,0.0
17,0,0,0,90,GK,SPAL 2013,Cagliari,0,1,2020-06-23,13356,2019,402106,0.0,0,0,0,0,0.0105833001434803,0.0105833001434803
18,0,0,0,90,GK,Cagliari,Roma,3,4,2020-03-01,13339,2019,396408,0.0,0,0,0,0,0.0685466006398201,0.0685466006398201
19,0,0,0,90,GK,Brescia,Cagliari,2,2,2020-01-19,13281,2019,389597,0.0,0,0,0,0,0.0,0.0
20,0,0,0,90,GK,Cagliari,AC Milan,0,2,2020-01-11,13269,2019,388473,0.0,0,0,0,0,0.0068283202126622,0.0068283202126622
21,0,0,0,90,GK,Juventus,Cagliari,4,0,2020-01-06,13263,2019,388349,0.0,0,0,0,0,0.0,0.0
22,0,0,0,90,GK,Lecce,Cagliari,2,2,2019-11-25,13212,2019,365751,0.0,0,0,0,0,0.0,0.0
23,0,0,0,90,GK,Cagliari,Fiorentina,5,2,2019-11-10,13200,2019,363627,0.0,0,0,0,0,0.1213980019092559,0.1213980019092559
24,0,0,0,90,GK,Atalanta,Cagliari,0,2,2019-11-03,13189,2019,362039,0.0,0,0,0,0,0.1097569987177848,0.1097569987177848
