goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,28,Sub,Arsenal,Leicester,2,0,2022-03-13,16656,2021,520356,0.0299737267196178,0,1,0,0.0,0.0299737267196178,0.0
1,0,1,0.0939776375889778,77,MC,Leicester,Leeds,1,0,2022-03-05,16648,2021,517257,0.0,0,0,0,0.0939776375889778,0.0,0.0
2,0,1,0.0113497003912925,90,MC,Burnley,Leicester,0,2,2022-03-01,16588,2021,517086,0.0,0,0,0,0.0113497003912925,0.3831141889095306,0.3717644810676574
3,0,1,0.0452559143304824,76,MC,Wolverhampton Wanderers,Leicester,2,1,2022-02-20,16635,2021,514975,0.0,0,0,0,0.0452559143304824,0.1719807535409927,0.1719807535409927
4,0,1,0.0160475019365549,90,MC,Leicester,West Ham,2,2,2022-02-13,16620,2021,513488,0.0,0,0,0,0.0160475019365549,0.3499860763549804,0.3339385688304901
5,0,0,0.0,90,DC,Liverpool,Leicester,2,0,2022-02-10,16614,2021,512297,0.0,0,0,0,0.0,0.0,0.0
6,0,0,0.0,90,DC,Leicester,Liverpool,1,0,2021-12-28,16573,2021,505316,0.0,0,0,0,0.0,0.4661363363265991,0.4661363363265991
7,0,1,0.0413879714906215,90,DMC,Leicester,Newcastle United,4,0,2021-12-12,16532,2021,502251,0.0,0,0,0,0.0413879714906215,0.0,0.0
8,0,0,0.0,90,DMC,Aston Villa,Leicester,2,1,2021-12-05,16516,2021,500879,0.0,0,0,0,0.0,0.206979215145111,0.206979215145111
9,0,2,0.0631545782089233,90,DMC,Southampton,Leicester,2,2,2021-12-01,16514,2021,499108,0.0,0,0,0,0.0631545782089233,0.0360547676682472,0.0210295673459768
10,0,4,0.129544124007225,90,DMC,Leicester,Watford,4,2,2021-11-28,16502,2021,498048,0.0464392937719821,0,1,0,0.129544124007225,0.536020815372467,0.4675693213939667
