goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,0.0,30,Sub,Brighton,Manchester United,0,2,2024-05-19,22267,2023,663205,0.0,0,0,0,0.0,0.1750810444355011,0.1750810444355011
1,0,0,0.0,90,DC,Manchester United,Newcastle United,3,2,2024-05-15,22231,2023,662117,0.0,0,0,0,0.0,0.0582908056676387,0.0582908056676387
2,0,0,0.0,78,DC,Manchester United,Arsenal,0,1,2024-05-12,22259,2023,661278,0.0136443814262747,0,1,0,0.0,0.0479936189949512,0.0343492403626441
3,0,0,0.0,90,DC,Crystal Palace,Manchester United,4,0,2024-05-06,22250,2023,660055,0.0,0,0,0,0.0,0.0736285299062728,0.0736285299062728
4,0,0,0.0,20,Sub,Chelsea,Manchester United,4,3,2024-04-04,22201,2023,651301,0.0,0,0,0,0.0,0.0,0.0
5,0,0,0.0,90,DC,Manchester United,Everton,2,0,2024-03-09,22172,2023,646314,0.1275833845138549,0,1,0,0.0,0.3438848555088043,0.3438848555088043
6,0,0,0.0,72,DC,Manchester City,Manchester United,3,1,2024-03-03,22160,2023,645751,0.0,0,0,0,0.0,0.1537643522024154,0.1537643522024154
7,0,0,0.0,40,Sub,Luton,Manchester United,1,2,2024-02-18,22139,2023,642562,0.0,0,0,0,0.0,0.8068153858184814,0.8068153858184814
8,0,0,0.0,1,Sub,Aston Villa,Manchester United,1,2,2024-02-11,22125,2023,640954,0.0,0,0,0,0.0,0.0,0.0
9,0,0,0.0,1,Sub,Wolverhampton Wanderers,Manchester United,3,4,2024-02-01,22111,2023,638140,0.4648778736591339,0,1,0,0.0,0.0,0.0
10,0,0,0.0,66,DC,Manchester United,Tottenham,2,2,2024-01-14,22099,2023,635458,0.0,0,0,0,0.0,0.0972868725657463,0.0972868725657463
