goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,2,0.4388931095600128,84,AML,Sheffield United,Brighton,0,5,2024-02-18,22143,2023,642341,0.058736078441143,0,1,0,0.4388931095600128,0.697848379611969,0.2002191692590713
1,0,1,0.1048779562115669,90,FWL,Tottenham,Brighton,2,1,2024-02-10,22132,2023,640236,0.4108159244060516,0,1,0,0.1048779562115669,0.6234089136123657,0.1077150329947471
2,0,2,0.0673412755131721,85,AML,Crystal Palace,Brighton,1,1,2023-12-21,22066,2023,632264,0.0,0,0,0,0.0673412755131721,0.5888239145278931,0.5214826464653015
3,0,0,0.0,90,AML,Arsenal,Brighton,2,0,2023-12-17,22056,2023,630784,0.4596072435379028,0,1,0,0.0,0.5696377158164978,0.5696377158164978
4,0,5,0.2411438524723053,42,Sub,Brighton,Burnley,1,1,2023-12-09,22046,2023,628702,0.0356099978089332,0,1,0,0.2411438524723053,0.9238134026527404,0.7356366515159607
5,0,1,0.0235427692532539,90,AML,Brighton,Brentford,2,1,2023-12-06,22036,2023,628001,0.2166141867637634,1,3,0,0.0235427692532539,0.8735654950141907,0.8066391348838806
6,0,1,0.0236740782856941,27,Sub,Chelsea,Brighton,3,2,2023-12-03,22029,2023,627263,0.0113567821681499,0,1,0,0.0236740782856941,0.164508044719696,0.164508044719696
7,0,2,0.1147336065769195,40,Sub,Brighton,Sheffield United,1,1,2023-11-12,22008,2023,623880,0.0,0,0,0,0.1147336065769195,0.099519670009613,0.0
8,0,2,0.1130768954753875,90,FWL,Everton,Brighton,1,1,2023-11-04,21997,2023,621603,0.0,0,0,0,0.1130768954753875,0.1130768954753875,0.0
9,0,1,0.0797113701701164,90,DML,Brighton,Fulham,1,1,2023-10-29,21988,2023,620630,0.142799973487854,0,1,0,0.0797113701701164,0.6404929161071777,0.6404929161071777
10,0,3,0.5787990093231201,90,AML,Manchester City,Brighton,2,1,2023-10-21,21980,2023,618146,0.0,0,0,0,0.5787990093231201,0.3447999954223633,0.0
11,0,1,0.2880129516124725,90,AML,Brighton,Liverpool,2,2,2023-10-08,21966,2023,616930,0.0,0,0,0,0.2880129516124725,0.355356752872467,0.355356752872467
12,0,2,0.1188463419675827,90,AML,Aston Villa,Brighton,6,1,2023-09-30,21955,2023,614311,0.0412278845906257,0,2,0,0.1188463419675827,0.9522016644477844,0.7921274304389954
13,2,2,1.1413780450820925,41,Sub,Brighton,Bournemouth,3,1,2023-09-24,21951,2023,612716,0.0,0,0,2,1.1413780450820925,1.1413780450820925,0.0
14,0,1,0.5518593192100525,90,AML,Manchester United,Brighton,1,3,2023-09-16,21940,2023,610455,0.0,0,0,0,0.5518593192100525,1.3379011154174805,0.786041796207428
15,0,4,0.2460541874170303,90,AML,Brighton,Newcastle United,3,1,2023-09-02,21931,2023,608874,0.3224250674247741,1,3,0,0.2460541874170303,0.6882111430168152,0.1197318956255912
16,0,2,0.0706302225589752,90,AML,Brighton,West Ham,1,3,2023-08-26,22301,2023,607016,0.3208933770656585,0,2,0,0.0706302225589752,0.5610173344612122,0.2042088061571121
17,1,1,0.4574770927429199,83,AML,Wolverhampton Wanderers,Brighton,1,4,2023-08-19,22286,2023,605078,0.6252812743186951,1,4,1,0.4574770927429199,1.1424018144607544,0.0596434287726879
18,0,1,0.0199888162314891,90,AML,Brighton,Luton,4,1,2023-08-12,22278,2023,603765,0.7422525882720947,1,5,0,0.0199888162314891,2.232360601425171,2.088321685791016
19,0,0,0.0,22,Sub,Aston Villa,Brighton,2,1,2023-05-28,18573,2022,600876,0.0,0,0,0,0.0,0.0,0.0
20,0,5,1.384468674659729,90,AML,Brighton,Manchester City,1,1,2023-05-24,18515,2022,599594,0.0119611155241727,0,1,0,1.384468674659729,0.8094408512115479,0.1451206356287002
