goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.0704058185219764,22,Sub,Chelsea,Bournemouth,2,1,2024-05-19,22269,2023,663277,0.0,0,0,0,0.0704058185219764,0.1854656487703323,0.1150598227977752
1,0,2,0.0822694674134254,78,DR,Brighton,Chelsea,1,2,2024-05-15,22226,2023,662161,0.5622685551643372,1,2,0,0.0822694674134254,0.8957486748695374,0.6967848539352417
2,0,1,0.4627650380134582,27,Sub,Nottingham Forest,Chelsea,2,3,2024-05-11,22261,2023,660896,0.0,0,0,0,0.4627650380134582,1.118843913078308,0.6560788750648499
3,0,0,0.0,4,Sub,Chelsea,West Ham,5,0,2024-05-05,22249,2023,659337,0.0,0,0,0,0.0,0.021399138495326,0.021399138495326
4,0,0,0.0,90,DR,Chelsea,Everton,6,0,2024-04-15,22219,2023,654299,0.0917437896132469,0,1,0,0.0,0.2762109637260437,0.1844671666622162
5,0,0,0.0,80,DR,Chelsea,Manchester United,4,3,2024-04-04,22201,2023,651271,0.1733616441488266,0,4,0,0.0,0.1622414141893386,0.0425239987671375
6,0,3,0.4790505468845367,90,DR,Chelsea,Burnley,2,2,2024-03-30,22188,2023,649767,0.5692030191421509,0,5,0,0.4790505468845367,1.7539511919021606,1.2500381469726562
7,0,0,0.0,90,DR,Chelsea,Newcastle United,3,2,2024-03-11,22169,2023,647833,0.0,0,0,0,0.0,0.1950021982192993,0.1950021982192993
8,0,0,0.0,90,DMR,Brentford,Chelsea,2,2,2024-03-02,22155,2023,644827,0.5520176887512207,1,3,0,0.0,1.388550043106079,1.2421936988830566
9,0,0,0.0,90,DR,Manchester City,Chelsea,1,1,2024-02-17,22140,2023,641989,0.8904114365577698,0,2,0,0.0,1.5170719623565674,1.1159247159957886
10,0,0,0.0,87,DR,Crystal Palace,Chelsea,1,3,2024-02-12,22126,2023,641279,0.1358799636363983,1,2,0,0.0,0.1846687793731689,0.1846687793731689
11,0,0,0.0,85,DR,Chelsea,Wolverhampton Wanderers,2,4,2024-02-04,22120,2023,639039,0.5466817617416382,0,1,0,0.0,0.9921095967292786,0.9921095967292786
12,0,1,0.0421753451228141,39,Sub,Liverpool,Chelsea,4,1,2024-01-31,22113,2023,638046,0.3247795403003692,0,1,0,0.0421753451228141,0.4701264202594757,0.4279510974884033
13,0,1,0.0641962885856628,90,DR,Chelsea,Fulham,1,0,2024-01-13,22097,2023,634557,0.164082258939743,0,3,0,0.0641962885856628,0.3308960199356079,0.2183098942041397
14,0,0,0.0,90,DR,Luton,Chelsea,2,3,2023-12-30,22089,2023,633380,0.0165990516543388,0,1,0,0.0,0.1689175814390182,0.1689175814390182
15,0,0,0.0,90,DR,Chelsea,Crystal Palace,2,1,2023-12-27,22080,2023,633066,0.618106484413147,1,2,0,0.0,1.1908835172653198,0.5727769732475281
16,0,1,0.0178926587104797,81,DR,Wolverhampton Wanderers,Chelsea,2,1,2023-12-24,22073,2023,632896,0.1446685194969177,0,2,0,0.0178926587104797,0.2964657247066498,0.2808610498905182
17,0,0,0.0,1,Sub,Chelsea,Sheffield United,2,0,2023-12-16,22059,2023,630281,0.0,0,0,0,0.0,0.0,0.0
18,0,1,0.3712041079998016,20,Sub,Chelsea,Manchester City,4,4,2023-11-12,22009,2023,624153,0.0,0,0,0,0.3712041079998016,0.3712041079998016,0.0
19,0,0,0.0,1,Sub,Tottenham,Chelsea,1,4,2023-11-06,22004,2023,622774,0.0,0,0,0,0.0,0.1254707723855972,0.1254707723855972
20,0,1,0.0522765666246414,90,DR,Chelsea,Arsenal,2,2,2023-10-21,21978,2023,618308,0.0,0,0,0,0.0522765666246414,0.0522765666246414,0.0
21,0,0,0.0,60,DR,Chelsea,Aston Villa,0,1,2023-09-24,21947,2023,612735,0.1049336269497871,0,1,0,0.0,0.4378464221954345,0.3329127728939056
22,0,1,0.0209386441856622,90,DR,Bournemouth,Chelsea,0,0,2023-09-17,21942,2023,610974,0.0,0,0,0,0.0209386441856622,0.3880241215229034,0.3880241215229034
23,0,0,0.0,82,DMR,Chelsea,Nottingham Forest,0,1,2023-09-02,21930,2023,608742,0.0,0,0,0,0.0,0.055417887866497,0.055417887866497
24,0,1,0.0172936078161001,90,DMR,Chelsea,Luton,3,0,2023-08-25,22295,2023,606586,0.6125726103782654,2,2,0,0.0172936078161001,1.370463490486145,1.2261961698532104
25,0,1,0.0199893005192279,90,DMR,West Ham,Chelsea,3,1,2023-08-20,22293,2023,605914,0.0,0,0,0,0.0199893005192279,0.0926463976502418,0.0926463976502418
26,0,0,0.0,7,Sub,Chelsea,Liverpool,1,1,2023-08-13,22283,2023,604416,0.0,0,0,0,0.0,0.0,0.0
27,0,0,0.0,6,Sub,Lyon,Reims,3,0,2023-05-27,20012,2022,600578,0.0,0,0,0,0.0,0.1280941665172577,0.1280941665172577
