goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.056990660727024,5,Sub,Liverpool,Wolverhampton Wanderers,2,0,2024-05-19,22271,2023,663077,0.0,0,0,0,0.056990660727024,0.0,0.0
1,0,1,0.0387046188116073,45,AML,Wolverhampton Wanderers,Fulham,2,1,2024-03-09,22174,2023,646694,0.0,0,0,0,0.0387046188116073,0.0387046188116073,0.0
2,0,0,0.0,49,FW,Newcastle United,Wolverhampton Wanderers,3,0,2024-03-02,22161,2023,644983,0.0,0,0,0,0.0,0.0182647965848445,0.0182647965848445
3,0,2,0.0786561071872711,90,AMC,Wolverhampton Wanderers,Sheffield United,1,0,2024-02-25,22154,2023,643714,0.0665788203477859,0,2,0,0.0786561071872711,0.6544448733329773,0.552182674407959
4,0,2,0.1171617731451988,90,AMC,Tottenham,Wolverhampton Wanderers,1,2,2024-02-17,22144,2023,641874,0.5096959471702576,1,1,0,0.1171617731451988,0.6868844032287598,0.0600266940891742
5,0,3,0.4012668132781982,90,FW,Wolverhampton Wanderers,Brentford,0,2,2024-02-10,22134,2023,640252,0.1816866546869278,0,3,0,0.4012668132781982,0.694692850112915,0.1830765157938003
6,0,4,0.3786948025226593,76,FW,Chelsea,Wolverhampton Wanderers,2,4,2024-02-04,22120,2023,639064,0.566470205783844,1,2,0,0.3786948025226593,0.9224286079406738,0.089248739182949
7,1,3,0.1886874884366989,90,AMC,Wolverhampton Wanderers,Manchester United,3,4,2024-02-01,22111,2023,638119,0.0640890449285507,0,2,1,0.1886874884366989,0.2384499162435531,0.0753284320235252
8,0,1,0.0552985928952693,90,FW,Brighton,Wolverhampton Wanderers,0,0,2024-01-22,22095,2023,636515,0.3685416281223297,0,3,0,0.0552985928952693,0.5411754250526428,0.1173352003097534
9,0,1,0.0985016152262687,5,Sub,Wolverhampton Wanderers,Everton,3,0,2023-12-30,22094,2023,633471,0.0,0,0,0,0.0985016152262687,0.0985016152262687,0.0
10,0,2,0.1207032203674316,84,MR,Wolverhampton Wanderers,Newcastle United,2,2,2023-10-28,21994,2023,620116,0.0893901661038398,1,1,0,0.1207032203674316,0.0489955656230449,0.0
11,0,4,0.2099533379077911,90,FWR,Bournemouth,Wolverhampton Wanderers,1,2,2023-10-21,21975,2023,618054,0.2102409154176712,1,3,0,0.2099533379077911,0.6252059936523438,0.4080075323581695
12,0,1,0.5960643887519836,90,FWR,Wolverhampton Wanderers,Aston Villa,1,1,2023-10-08,21974,2023,616984,0.7500214576721191,1,2,0,0.5960643887519836,0.9447568655014038,0.2257427275180816
13,0,0,0.0,90,FWR,Wolverhampton Wanderers,Manchester City,2,1,2023-09-30,21961,2023,614607,0.0,0,0,0,0.0,0.0,0.0
14,1,1,0.1079538166522979,90,AMR,Luton,Wolverhampton Wanderers,1,1,2023-09-23,21945,2023,612199,0.0460521355271339,0,1,1,0.1079538166522979,0.1079538166522979,0.0
15,0,1,0.044177122414112,90,AML,Wolverhampton Wanderers,Liverpool,1,3,2023-09-16,21935,2023,610062,0.1849477291107177,1,4,0,0.044177122414112,0.2137663215398788,0.0911508724093437
16,0,3,0.1238609924912452,90,ML,Crystal Palace,Wolverhampton Wanderers,3,2,2023-09-03,21932,2023,609358,0.74500572681427,2,3,0,0.1238609924912452,0.6085029244422913,0.0975862517952919
17,0,1,0.0411956161260604,90,MR,Everton,Wolverhampton Wanderers,0,1,2023-08-26,22299,2023,606881,0.7294711470603943,1,4,0,0.0411956161260604,0.8210644721984863,0.1257088184356689
18,0,2,0.3219897747039795,90,MR,Wolverhampton Wanderers,Brighton,1,4,2023-08-19,22286,2023,605059,0.075916551053524,0,2,0,0.3219897747039795,0.4257090389728546,0.0278027094900608
19,0,3,0.3071686029434204,90,MR,Manchester United,Wolverhampton Wanderers,1,0,2023-08-14,22284,2023,604639,0.6279343962669373,0,4,0,0.3071686029434204,1.0138167142868042,0.1364593058824539
20,0,0,0.0,48,ML,Manchester United,Wolverhampton Wanderers,2,0,2023-05-13,18560,2022,596445,0.0489628911018371,0,1,0,0.0,0.0,0.0
21,0,0,0.0,86,ML,Wolverhampton Wanderers,Aston Villa,1,0,2023-05-06,18551,2022,594832,0.5834515690803528,0,2,0,0.0,0.5834515690803528,0.0
22,0,2,0.0677502527832984,88,FW,Brighton,Wolverhampton Wanderers,6,0,2023-04-29,18535,2022,592379,0.194542720913887,0,2,0,0.0677502527832984,0.2817775905132293,0.0194846224039793
23,0,0,0.0,1,Sub,Wolverhampton Wanderers,Crystal Palace,2,0,2023-04-25,18527,2022,591423,0.0,0,0,0,0.0,0.0,0.0
24,0,1,0.0088846180588006,2,Sub,Leicester,Wolverhampton Wanderers,2,1,2023-04-22,18518,2022,590168,0.0,0,0,0,0.0088846180588006,0.0088846180588006,0.0
25,0,0,0.0,1,Sub,Wolverhampton Wanderers,Brentford,2,0,2023-04-15,18511,2022,588400,0.0,0,0,0,0.0,0.0,0.0
26,0,1,0.0280258990824222,6,Sub,Nottingham Forest,Wolverhampton Wanderers,1,1,2023-04-01,18490,2022,584700,0.0,0,0,0,0.0280258990824222,0.0,0.0
27,0,1,0.0904157981276512,49,FWR,Wolverhampton Wanderers,Leeds,2,4,2023-03-18,18481,2022,583112,0.4945290088653564,0,2,0,0.0904157981276512,0.5578020215034485,0.4673860073089599
28,0,1,0.151881992816925,42,Sub,Newcastle United,Wolverhampton Wanderers,2,1,2023-03-12,18469,2022,582172,0.0,0,0,0,0.151881992816925,0.0250346008688211,0.0250346008688211
29,0,0,0.0,54,AML,Wolverhampton Wanderers,Tottenham,1,0,2023-03-04,18461,2022,579520,0.0,0,0,0,0.0,0.0,0.0
30,0,0,0.0,23,AMC,West Ham,Wolverhampton Wanderers,2,0,2022-10-01,18291,2022,552630,0.0207340996712446,0,1,0,0.0,0.0207340996712446,0.0
31,0,1,0.0583414994180202,89,FWR,Wolverhampton Wanderers,Manchester City,0,3,2022-09-17,18274,2022,550435,0.0,0,0,0,0.0583414994180202,0.12602099776268,0.0676798969507217
32,0,1,0.1233239993453025,84,FWR,Wolverhampton Wanderers,Southampton,1,0,2022-09-03,18256,2022,547191,0.5438560247421265,0,2,0,0.1233239993453025,0.5362510085105896,0.3885490000247955
33,0,3,0.0983615964651107,90,FWR,Bournemouth,Wolverhampton Wanderers,0,0,2022-08-31,18248,2022,546304,0.1808380037546157,0,4,0,0.0983615964651107,0.7123839855194092,0.6904839873313904
34,0,2,0.3637360036373138,86,FWL,Wolverhampton Wanderers,Newcastle United,1,1,2022-08-28,18240,2022,545088,0.1277499943971634,0,1,0,0.3637360036373138,0.5110129714012146,0.0195275004953145
35,0,1,0.0155798001214861,73,DMR,Tottenham,Wolverhampton Wanderers,1,0,2022-08-20,18222,2022,542139,0.0748597979545593,0,3,0,0.0155798001214861,0.0904396027326583,0.0171208996325731
36,0,0,0.0,81,AML,Wolverhampton Wanderers,Fulham,0,0,2022-08-13,18216,2022,540624,0.3768280148506164,0,1,0,0.0,0.7963669896125793,0.4195390045642853
37,0,3,0.1004690006375312,90,AML,Leeds,Wolverhampton Wanderers,2,1,2022-08-06,18205,2022,539449,0.0610519014298915,0,1,0,0.1004690006375312,0.6397330164909363,0.5953289866447449
38,1,1,0.4737089872360229,21,FW,Liverpool,Wolverhampton Wanderers,3,1,2022-05-22,16753,2021,537908,0.1392779946327209,0,1,1,0.4737089872360229,0.6129869818687439,0.1392779946327209
39,0,5,0.5613449811935425,76,AMC,Wolverhampton Wanderers,Norwich,1,1,2022-05-15,16736,2021,536034,0.015340800397098,0,1,0,0.5613449811935425,0.5186160206794739,0.0168329998850822
40,0,1,0.0610153004527092,74,FW,Wolverhampton Wanderers,Manchester City,1,5,2022-05-11,16696,2021,534895,0.2353159934282302,1,3,0,0.0610153004527092,0.2683840095996856,0.0712983012199401
41,0,1,0.0972839966416359,73,FW,Chelsea,Wolverhampton Wanderers,2,2,2022-05-07,16731,2021,534279,0.4071719944477081,0,2,0,0.0972839966416359,0.1602409929037094,0.0629573017358779
42,0,3,0.1825390011072158,41,Sub,Wolverhampton Wanderers,Brighton,0,3,2022-04-30,16716,2021,530484,0.0372899994254112,0,1,0,0.1825390011072158,0.1592209935188293,0.0660208985209465
43,0,1,0.0591121986508369,22,Sub,Burnley,Wolverhampton Wanderers,1,0,2022-04-24,16712,2021,529319,0.0,0,0,0,0.0591121986508369,0.0917799025774002,0.0326677002012729
44,0,0,0.0,9,Sub,Newcastle United,Wolverhampton Wanderers,1,0,2022-04-08,16689,2021,524211,0.0,0,0,0,0.0,0.1417279988527298,0.1417279988527298
45,0,0,0.0,10,Sub,Wolverhampton Wanderers,Aston Villa,2,1,2022-04-02,16676,2021,522842,0.0,0,0,0,0.0,0.0,0.0
46,0,2,0.0520264990627765,28,Sub,Wolverhampton Wanderers,Watford,4,0,2022-03-10,16565,2021,518894,0.5682010054588318,0,1,0,0.0520264990627765,0.7553769946098328,0.1871760040521621
47,0,0,0.0,67,AMC,Wolverhampton Wanderers,Crystal Palace,0,2,2022-03-05,16655,2021,517612,0.0739841014146804,0,3,0,0.0,0.0134880999103188,0.0134880999103188
48,0,1,0.0419573001563549,10,Sub,West Ham,Wolverhampton Wanderers,1,0,2022-02-27,16645,2021,516512,0.0186663996428251,0,1,0,0.0419573001563549,0.102012000977993,0.0413881987333297
49,0,1,0.0843197032809257,13,Sub,Arsenal,Wolverhampton Wanderers,2,1,2022-02-24,16566,2021,515422,0.0,0,0,0,0.0843197032809257,0.0843197032809257,0.0
50,0,1,0.0233880002051591,7,Sub,Wolverhampton Wanderers,Leicester,2,1,2022-02-20,16635,2021,514967,0.0,0,0,0,0.0233880002051591,0.0233880002051591,0.0
51,0,0,0.0,31,AMR,Fulham,Wolverhampton Wanderers,0,1,2021-04-09,14738,2020,460840,0.0,0,0,0,0.0,0.0,0.0
52,0,5,0.6502810120582581,90,AMR,Wolverhampton Wanderers,West Ham,2,3,2021-04-05,14734,2020,460676,0.3646009862422943,1,4,0,0.6502810120582581,1.260849952697754,0.3202019929885864
53,0,0,0.0,90,AMC,Wolverhampton Wanderers,Liverpool,0,1,2021-03-15,14714,2020,457427,0.0,0,0,0,0.0,0.0700189024209976,0.0700189024209976
54,0,2,0.1494210064411163,90,FWR,Aston Villa,Wolverhampton Wanderers,0,0,2021-03-06,14695,2020,454770,0.3162409961223602,0,2,0,0.1494210064411163,0.1069699972867965,0.0
55,0,1,0.0733767002820968,90,AMC,Manchester City,Wolverhampton Wanderers,4,1,2021-03-02,14720,2020,453570,0.0973009020090103,0,2,0,0.0733767002820968,0.1559029966592788,0.0
56,0,5,0.481130987405777,90,AMC,Newcastle United,Wolverhampton Wanderers,1,1,2021-02-27,14688,2020,452607,0.6289680004119873,1,3,0,0.481130987405777,0.6486909985542297,0.4636310040950775
57,0,5,0.1450240015983581,90,FWR,Wolverhampton Wanderers,Leeds,1,0,2021-02-19,14684,2020,450380,0.1294640004634857,0,1,0,0.1450240015983581,0.350163996219635,0.0756753981113433
58,1,2,0.1467480063438415,90,FWL,Southampton,Wolverhampton Wanderers,1,2,2021-02-14,14672,2020,449457,0.0766258984804153,0,3,1,0.1467480063438415,0.1768449991941452,0.0300967991352081
