goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,1,0.0387108996510505,90,DC,Nottingham Forest,Brentford,2,2,2022-11-05,18347,2022,561912,0.0,0,0,0,0.0387108996510505,0.0889310985803604,0.0889310985803604
1,0,1,0.0705737993121147,90,DC,Arsenal,Nottingham Forest,5,0,2022-10-30,18332,2022,560764,0.0,0,0,0,0.0705737993121147,0.0,0.0
2,0,0,0.0,90,DC,Nottingham Forest,Liverpool,1,0,2022-10-22,18327,2022,557956,0.5792449712753296,0,1,0,0.0,0.0,0.0
3,0,0,0.0,90,DC,Brighton,Nottingham Forest,0,0,2022-10-18,18315,2022,557323,0.0,0,0,0,0.0,0.0,0.0
4,0,0,0.0,90,DC,Wolverhampton Wanderers,Nottingham Forest,1,0,2022-10-15,18311,2022,555947,0.1360979974269867,0,1,0,0.0,0.0,0.0
5,0,0,0.0,90,DC,Nottingham Forest,Aston Villa,1,1,2022-10-10,18300,2022,555416,0.0,0,0,0,0.0,0.0185336004942655,0.0185336004942655
6,0,1,0.0545638985931873,90,DC,Leicester,Nottingham Forest,4,0,2022-10-03,18287,2022,553616,0.0,0,0,0,0.0545638985931873,0.3525840044021606,0.3525840044021606
7,0,0,0.0,64,DC,Nottingham Forest,Fulham,2,3,2022-09-16,18273,2022,550241,0.0,0,0,0,0.0,0.0,0.0
8,0,0,0.0,90,DC,Nottingham Forest,Bournemouth,2,3,2022-09-03,18254,2022,547127,0.0,0,0,0,0.0,0.1364330053329467,0.1364330053329467
9,0,0,0.0,76,DC,Nottingham Forest,Tottenham,0,2,2022-08-28,18241,2022,545388,0.0808497965335846,0,1,0,0.0,0.0193064995110034,0.0193064995110034
10,0,0,0.0,90,DC,Everton,Nottingham Forest,1,1,2022-08-20,18224,2022,542356,0.0,0,0,0,0.0,0.0518025010824203,0.0518025010824203
11,0,0,0.0,8,Sub,Nottingham Forest,West Ham,1,0,2022-08-14,18219,2022,541265,0.0,0,0,0,0.0,0.0,0.0
12,0,0,0.0,90,DC,Everton,Bournemouth,1,3,2020-07-26,12019,2019,411339,0.0,0,0,0,0.0,0.0,0.0
13,0,1,0.1127509996294975,90,DC,Bournemouth,Southampton,0,2,2020-07-19,12004,2019,409756,0.0,0,0,0,0.1127509996294975,0.0,0.0
14,0,0,0.0,90,DC,Manchester City,Bournemouth,2,1,2020-07-15,11999,2019,408671,0.0,0,0,0,0.0,0.3484619855880737,0.3484619855880737
15,0,1,0.0597943998873233,51,Sub,Bournemouth,Leicester,4,1,2020-07-12,11984,2019,408210,0.0,0,0,0,0.0597943998873233,0.0,0.0
16,0,0,0.0,82,DC,Bournemouth,Newcastle United,1,4,2020-07-01,11955,2019,404376,0.0,0,0,0,0.0,0.0673059970140457,0.0673059970140457
17,0,0,0.0,90,DC,Wolverhampton Wanderers,Bournemouth,1,0,2020-06-24,11947,2019,402382,0.0,0,0,0,0.0,0.0,0.0
18,0,1,0.0131390998139977,90,DC,Bournemouth,Crystal Palace,0,2,2020-06-20,11942,2019,401451,0.0114032002165913,0,1,0,0.0131390998139977,0.091679498553276,0.0802763029932975
19,0,0,0.0,18,DC,Liverpool,Bournemouth,2,1,2020-03-07,11928,2019,387633,0.0,0,0,0,0.0,0.7564330101013184,0.7564330101013184
20,0,0,0.0,90,DC,Bournemouth,Chelsea,2,2,2020-02-29,11914,2019,387482,0.0,0,0,0,0.0,0.0511673018336296,0.0511673018336296
21,0,0,0.0,90,DC,Burnley,Bournemouth,3,0,2020-02-22,11907,2019,387222,0.0,0,0,0,0.0,0.0570112988352775,0.0570112988352775
22,0,0,0.0,30,DC,Norwich,Bournemouth,1,0,2020-01-18,11869,2019,386133,0.0,0,0,0,0.0,0.0,0.0
23,0,0,0.0,90,DC,Bournemouth,Watford,0,3,2020-01-12,11857,2019,385957,0.0,0,0,0,0.0,0.1140180006623268,0.1140180006623268
24,0,0,0.0,90,DC,West Ham,Bournemouth,4,0,2020-01-01,11843,2019,385618,0.0,0,0,0,0.0,0.6212199926376343,0.6212199926376343
25,0,1,0.0272141005843877,90,DC,Brighton,Bournemouth,2,0,2019-12-28,11834,2019,372687,0.0,0,0,0,0.0272141005843877,0.0,0.0
26,0,0,0.0,90,DC,Bournemouth,Arsenal,1,1,2019-12-26,11824,2019,372424,0.0,0,0,0,0.0,0.0332203991711139,0.0332203991711139
27,0,1,0.0336441993713378,90,DC,Tottenham,Bournemouth,3,2,2019-11-30,11779,2019,366251,0.0,0,0,0,0.0336441993713378,0.0242468006908893,0.0242468006908893
28,1,2,0.1048739999532699,90,DC,Bournemouth,Wolverhampton Wanderers,1,2,2019-11-23,11765,2019,364659,0.5165529847145081,0,1,1,0.1048739999532699,0.0,0.0
29,0,1,0.0478032007813453,90,DC,Newcastle United,Bournemouth,2,1,2019-11-09,11756,2019,363206,0.0,0,0,0,0.0478032007813453,0.1897310018539428,0.1897310018539428
